source,target
Wie hast du in dieser Angelegenheit abgestimmt?,How did you vote on that matter?
"Mairead McGuinness (PPE), schriftlich.","Mairead McGuinness (PPE), in writing."
Ich habe ihn ein bisschen vereinfacht.,I've simplified it a little bit.
Das wird euch Glück bringen.,This will bring you luck.
Ich lebe in einer Stadt nahe Boston.,I live in a town near Boston.
"Ach, da sind Sie!","Oh, there you are."
Tom arbeitet jetzt für Maria.,Tom now works for Mary.
"Sie sind an einer Laufbahn im Auswärtigen Amt interessiert, nicht wahr?","You're interested in a career in foreign relations, aren't you?"
Wir hören fast jede Nacht Schüsse.,We hear gunshots almost every night.
"Als sie die furchtbare Nachricht hörte, fiel sie in Ohnmacht.",She fainted when she heard the terrible news.
"Er hat alles verkauft, was er besessen hat.",He sold all that he owned.
Mein Hund ist braun.,My dog's brown.
Was wirst du dieses Wochenende tun?,What'll you do this weekend?
Was heißt das für Tom?,What does this mean for Tom?
"Als ich heute Morgen kam, war nur Tom im Büro.",Tom was the only one in the office when I got here this morning.
"Er ist sehr sympathisch, also arbeite ich gerne mit ihm.","He is very friendly, so I enjoy working with him."
Sie müssen nur hier unterschreiben.,All you have to do is sign here.
Dieses Boot hat sechs Riemen.,This boat has six oars.
"Stimmt es, daß du gegenüber von Tom gewohnt hast?",Is it true that you live across the street from Tom?
Sie ist vorgestern nach Amerika gefahren.,She left for America the day before yesterday.
"Wenn ich gewußt hätte, daß Tom Ihnen nicht helfen würde, hätte ich meine Hilfe angeboten.","Had I known Tom wasn't going to help you, I would've offered my help."
"Ich weiß nicht, was den Unfall verursacht hat.",I don't know what caused the accident.
Tom hat das Problem allein gelöst.,Tom solved the problem by himself.
Stell es zurück.,Put it back.
"Ich hoffe, Tom ist da nicht schneller als ich.",I hope Tom isn't quicker at doing that than I am.
Tom und Maria sind Zwillinge.,Tom and Mary are twins.
Sie warten auf eine Antwort.,They're waiting for an answer.
Tom ist schon seit ein paar Tagen weg.,Tom has been gone for a few days.
Ich höre jeden Tag Musik.,I listen to music every day.
Das wird immer wieder passieren.,This is going to keep happening.
"Ich dachte, Tom hat gesagt, er wolle nicht heiraten.",I thought Tom said he didn't want to get married.
"Es ist drei Jahre her, dass sie geheiratet haben.",It's been three years since they got married.
Isst du jeden Tag Reis?,Do you eat rice every day?
Der Scheck muss bei der Post verloren gegangen sein.,The check must've gotten lost in the mail.
"Ich hätte eine Frage an Sie, aber wenn es Ihnen gerade nicht passt, dann kann ich auch ein andermal wiederkommen.","I'd like to ask you a question, but if this is a bad time, I can come back at another time."
"Wo hast du ihn gefunden, in der Schule oder zu Hause?","Where did you find it, at school or at home?"
In gewissem Sinne stimmt das.,"In a sense, that's correct."
Wir sind bei dir.,We're with you.
Tom ist ein sehr einfallsreicher Mensch.,Tom is a very creative person.
Wem in Ihrer Familie fühlen sie sich am meisten verbunden?,Who are you closest to in your family?
Infolge meines Hexenschusses werde ich nicht in der Lage sein an Koizumi's Party teilzunehmen.,"Due to my lumbago, I won't be able to attend Koizumi's party."
Wie weit müssen wir gehen?,How far do we have to go?
Tom hat nicht viel Bargeld dabei.,Tom doesn't carry much cash.
Erzähl mir nichts – zeig’s her!,"Don't tell me, show me."
"Es tut mir leid, dass ich dich angeschrien habe.",I'm sorry for shouting at you.
"Der moderne Mensch betrachtet Geld als ein Mittel, zu mehr Geld zu kommen.",Modern man looks on money as a means to getting more money.
Ich arbeite schon seit einem Jahr hier.,I've been working here for a year.
Ich wünsche euch nur das Beste.,I wish nothing but the best for you.
"Ich bin kein Arzt, sondern Lehrer.","I'm not a doctor, but a teacher."
Du solltest doch mit Tom sprechen.,You were supposed to speak with Tom.
"Ich habe, glaube ich, keine Zeit, um Ihnen dabei zu helfen.",I don't think I'll have time to help you do that.
Tom zwinkerte den Mädchen zu.,Tom winked at the girls.
"Wir wussten nicht genau, was für ein Mensch Tom war und ob es ihm gefallen würde, mit uns unter einem Dach zu leben.",We were unsure what kind of person Tom would be and whether he would like living in the same house as us.
Ich habe keine Kreditkarte.,I don't have a credit card.
Tom ist Tiefseetaucher.,Tom is a deep-sea diver.
"Tom vergaß, sich bei Maria zu bedanken.",Tom forgot to say thank you to Mary.
"Tom ist schlau, nicht wahr?","Tom is clever, isn't he?"
"Hier haben wir es mit einem weltweiten Markt zu tun, bei dem die europäischen Player mit erheblichen internationalen Wettbewerbsproblemen konfrontiert sind.",This is a global market in which European players face significant international competition problems.
Er fragte mich nach meiner Telefonnummer.,He asked me for my phone number.
Habt ihr schon neue Freundschaften geschlossen?,Have you made any new friends yet?
"Der Arzt riet mir, das Rauchen aufzugeben.",The doctor advised me to give up smoking.
"Es war von vornherein klar, dass die Diskussion wieder in einem Streit enden würde.",It was clear from the outset that the discussion would end again in argument.
Wann gehst du zur Schule?,When do you leave for school?
Tom muss es nicht wissen.,Tom doesn't have to know.
"Es ist mir egal, was Sie sagen.",I don't care what you say.
Ich werde mich selbst darum kümmern.,I'll take care of it myself.
"Sie sagten, Tom sei nicht beschäftigt.",You said that Tom wasn't busy.
Mehrere Häuser wurden von der Flut davongetragen.,Several houses were carried away by the great flood.
Er ist einer meiner Lieblingsfilme.,It's one of my favorite movies.
"Er kam zu meinem Haus unter dem Vorwand, mich zu treffen.",He came to my house on the pretext of seeing me.
Du solltest dieses Auto behalten.,You should keep this car.
Tom saß als einziger auf dem Boden.,Tom was the only one sitting on the ground.
Wie bist du an dieses Bild gekommen?,How did you come by this painting?
Toms Wohnung ist voll von Antiquitäten.,Tom's apartment is full of antiques.
"Tom möchte, dass du mit ihm nach Boston gehst.",Tom wants you to go to Boston with him.
Tom kam zur Hintertür herein.,Tom entered through the back door.
Allzubald hat Tom das nicht vor.,Tom doesn't plan to do that anytime soon.
Mein Vater kommt gewöhnlich um sieben nach Hause.,My father usually comes home at seven.
Sie ist kein guter Mensch.,She is not a good person.
Tom wird schwer vermisst werden.,Tom will be sadly missed.
Tom machte die Lampe auf dem Nachttisch aus.,Tom switched off the lamp on the bedside table.
Es will keiner mehr mit dir reden.,Nobody wants to talk to you anymore.
"Ich hoffe, ihr habt alle eine gute Zeit.",I hope you're all having a good time.
Sie hat mir diese alten Münzen geschenkt.,She gave me these old coins.
Habt ihr das Gemälde gesehen?,Have you seen the painting?
Sie lebt in der Nähe.,She lives nearby.
Tom hat sich ein Auto gekauft.,Tom bought a car.
Wie entfernt man Ohrenschmalz am besten?,What's the best way to remove ear wax?
"Die Birne war nicht durchgebrannt, sondern nur nicht richtig reingedreht.",The bulb wasn't burnt out. It was just not screwed in properly.
"Sie werden nicht glauben, was als nächstes passierte.",You won’t believe what happened next.
"Könnt ihr bestätigen, daß das deine Tasche ist?",Can you confirm this is your bag?
"Habt ihr je erlebt, dass Tom gelogen hat?",Have you ever known Tom to lie?
Tom rühmte sich dessen.,Tom bragged about it.
Es ist hier wirklich schön.,It's really nice here.
Warum habt ihr mir nicht geschrieben?,Why didn't you write me?
Wo seid ihr am 20. Oktober gewesen?,Where were we on October 20th?
"Zweitens ist die Möglichkeit, dass das Assoziierungsabkommen den Weg für Verhandlungen über die Visaliberalisierung ebnen könnte, besorgniserregend.","Secondly, the possibility that the association agreement could smooth the way for negotiations on visa liberalisation is of some concern."
Man darf Menschen nicht nach ihrem Aussehen beurteilen.,You can't judge people by their looks.
Tom war immer für mich da.,Tom was always there for me.
Wir reisen morgen ganz früh ab.,We're leaving early tomorrow morning.
"Das ist das Lied, von dem ich dir erzählt habe.",This is the song that I told you about.
Es geht mir schlechter als dir.,I feel worse than you do.
Am Samstag gehe ich nicht zur Schule.,I don't go to school on Saturdays.
Tom ist ein Kunstexperte.,Tom is an art expert.
Wir müssen unsere Sachen waschen.,We need to wash our clothes.
"Wir sollten jedoch schon darüber nachdenken, die Karotte sichtbarer zu machen.","However, we should be thinking already about making the carrot more visible."
Kommt euch dieser Kerl bekannt vor?,Does that guy look familiar to you?
Wieso bist du heute so mürrisch?,Why are you so grumpy today?
"Da Tom keine Zahnbürste hatte, musste er sich eine kaufen.","Tom didn't have a toothbrush, so he had to buy one."
Ich habe jetzt keinen Hunger.,I'm not hungry now.
Sagen Sie dieses Wort nie wieder!,Don't say that word ever again.
"Plötzlich dämmerte es Tom, dass er es die ganze Zeit über falsch gemacht hatte.",It suddenly dawned on Tom that he'd been doing it wrong all along.
"Das, was man dich lehrte, ist falsch.",What you were taught is wrong.
Er hat mir seinen Namen nicht verraten.,He didn't tell me his name.
Die Männer in unserem Club sind alle Junggesellen.,All the men in our club are bachelors.
"Ich hoffe, dass Tom bald ankommt.",I hope that Tom arrives soon.
Sie probiert einen Mantel an.,She's trying on a coat.
Keiner von uns kann Französisch.,None of us speak French.
Hast du das auch gesehen?,"Did you see that, too?"
Wirf die Flasche nicht weg. Man kann sie wiederverwenden.,Don't throw that bottle away. It can be reused.
Habt ihr Blumen gekauft?,Did you buy flowers?
Mein Haar ist noch nass.,My hair is still wet.
Ich habe mich nach einer Waffe umgeschaut.,I was looking for a weapon.
Ich habe euch gestern in der Disko vermisst.,I missed you at the club last night.
Hast du ihren Brief bekommen?,Did you get their letter?
Tom gab bei seinem Freund an.,Tom bragged to his friend.
Es hängt allein von dir ab.,It's all up to you.
"Die Polizei durchsuchte Toms Haus drei Stunden lang, aber sie fanden nichts.","The police searched Tom's house for three hours, but they didn't find anything."
"(Da Putin bereits einige rechte Parteien in Europa finanziert, ist das vielleicht die normale Wende der Ereignisse.)","(As Putin already finances some right-wing parties in Europe, maybe that is the normal turn of events.)"
"Wir hatten nichts, über das wir hätten reden können.",We had nothing to talk about.
Kürze diesen Satz etwas!,Make this sentence a little shorter.
Ich möchte mit dir über diese Liste reden.,I want to talk to you about this list.
"Ich denke, Tom macht das gerne.",I think Tom likes doing that.
"Er mogelte bei der Prüfung, indem er von dem Mädchen vor ihm abschrieb.",He cheated on the test by copying from the girl in front.
Ich würde meine Frau nie in der Öffentlichkeit küssen.,I wouldn't ever kiss my wife in public.
"Lasst uns dort weitermachen, wo wir aufgehört haben!",Let's continue from where we left off.
Wir haben gemeinsame Interessen.,We have common interests.
"Tom hat gesagt, dass er keinen Führerschein habe.",Tom said that he didn't have a driver's license.
Ich brauche ein stärkeres Schmerzmittel.,I need a stronger painkiller.
Das ist nicht von mir.,It's not from me.
Sie haben uns gerettet.,They saved us.
Unglücklicherweise sind meine Lehrer nicht die schlechtesten.,"Unfortunately, my teachers are not the worst ones."
"Ich hoffe, Sie werden bald wieder gesund.",I hope you get well soon.
Bin ich schwerer als Sie?,Am I heavier than you?
Das habe ich doch gleich gesagt.,I told you so.
"Er ist nicht intelligent genug, im Kopf zu rechnen.",He isn't smart enough to add up numbers in his head.
Sie sollten Tom bald anrufen.,You should call Tom soon.
"Pass auf, was du sagst.",Watch what you say.
"Du solltest dir jemand anderen suchen, der dir hilft.",You should find somebody else to help you.
"Er gehörte nicht zu der Sorte Mensch, die sich durch einen einzigen Fehlschlag entmutigen ließ.",He was not a man to be disheartened by a single failure.
"Vielleicht bist du der einzige, der dazu imstande ist.",Maybe you're the only person who can do that.
"Sie kam den ganzen Weg von New York, um mich zu sehen.",She came all the way from New York to see me.
Ihr solltet das Kind nicht allein lassen.,You shouldn't leave the baby alone.
Die Sonne ist schon untergegangen.,The sun has already gone down.
Ihr neuer Lehrer war ihr sympathisch.,She took to her new teacher.
Lass den Motor laufen!,Keep the engine running.
Deutsch und Englisch sind zwei verwandte Sprachen.,English and German are two related languages.
"Kannst du diesen Bericht korrigieren, bevor du heute nach Hause gehst?",Can you correct this report before you go home today?
"Du bist müde, nicht wahr? Warum gehst du nicht ins Bett?","You're tired, aren't you? Why don't you get to bed?"
Tom hat das bereits getan.,Tom has already done that.
"Ich dachte, daß du vielleicht gerne etwas trinken möchtest.",I thought that you might like something to drink.
Und wo kommt das Geld her?,And where is the money coming from?
Ich habe Ihr Schweigen als Zustimmung gewertet.,I interpreted your silence as consent.
Sie sind viel jünger als Tom.,You're a lot younger than Tom.
Die Sonne kam hervor.,The sun came out.
"Ich glaube, jeder verdient eine Chance.",I believe everybody deserves a chance.
Das sind meine Töchter.,These are my daughters.
"Die Kommission hat auch ihre Vision dargelegt, dass die EU bis 2050 klimaneutral wird.",The Commission has also laid out its vision for the EU to become climate-neutral by 2050.
Das klingt gut.,It sounds good to me.
Wie haben Sie das gemacht?,How did you do this?
Sie sind nicht hier.,They're not here.
Wohnt ihr hier?,Do you live here?
Kannst du den Boden berühren?,Can you touch the bottom?
Komm nicht zu spät!,Don't be late.
"Das ist der, den wir wollen.",That's the one we want.
Ich kann für niemand anders sprechen.,I can't speak for anyone else.
"Ich hoffe, ich habe nichts Unangebrachtes geäußert.",I hope I haven't said anything inappropriate.
"Kommt vorbei, wenn ihr mal in der Gegend seid!",Stop by if you're ever in the neighborhood.
Danke im voraus für deine Hilfe!,Thanks in advance for your help.
Mir schmerzen die Schultern.,My shoulders hurt.
Ich könnte dich nicht umbringen.,I couldn't kill you.
Ich muss mir eine Teilzeitarbeit suchen.,I have to find a part-time job.
Tom schnallte sich wieder an.,Tom put his seatbelt back on.
"Ich hoffe, dass er Erfolg haben wird.",I hope that he will succeed.
Vielleicht solltest du den Fernseher ausschalten und etwas anderes machen.,Maybe you should turn off the television and do something else.
"Ich habe schon viele Freundschaften geschlossen, seit ich hier zur Schule gehe.",I've made a lot of new friends since I started school here.
Lasst uns Karten spielen.,Let's play cards.
Tom muss sich baldmöglichst darum kümmern.,Tom needs to do that as soon as possible.
"Sie können ein paar Musikaufnahmen genießen, während Sie warten.",You can enjoy some recorded music while you wait.
"Ich hoffe, euer Aufenthalt bei uns hat euch gefallen.",I hope you enjoyed your stay with us.
Das war kein fairer Kampf.,It wasn't a fair fight.
Keinem von uns beiden wurde sein Wunsch erfüllt.,Neither of us got our wish.
Das ist kein Blut.,It isn't blood.
Hast du es geschafft?,Did you make it?
Wollt ihr mal etwas sehen?,Do you want to see something?
Tom hatte nichts damit zu tun.,Tom had nothing to do with this.
"Ich war dumm genug, um ihm zu glauben.",I was foolish enough to believe him.
Schreib es bitte hier hin.,"Write it down here, please."
"Ich bin es nicht gewohnt, vor anderen zu sprechen.",I am not accustomed to speaking in public.
Du musst nur fleißiger arbeiten.,All you have to do is to work harder.
Warum um Himmels willen sollte ich das tun?,Why on earth would I do that?
Warum hat sie mich unterbrochen?,Why did she interrupt me?
Es wird von Tag zu Tag kälter.,It is getting colder day by day.
Wie lange habt ihr dieses Problem schon?,How long have you had this problem?
Sie können die Wettervorhersage auch telefonisch erfahren.,You can also get the weather forecast by telephone.
Marias Bitte verwirrte Tom.,Tom was confused by Mary's request.
Das gefällt mir überhaupt nicht.,I don't really enjoy that.
Ich möchte dich begleiten.,I'd like to come with you.
"Herr Präsident, die Schweiz ist ein souveräner Staat und hat das Gefühl gehabt, nicht Mitglied des EU-Sowjets zu werden.","Mr President, Switzerland is a sovereign state and has had the sense to avoid becoming a member of the EU Soviet."
"Er denkt, das sei normal.",He thinks that's normal.
Tom hat Schafe.,Tom has sheep.
Tom ist gestern mit dem Fahrrad zur Schule gefahren.,Tom rode his bicycle to school yesterday.
"Verstehst du, was dort geschrieben steht?",Can you read what that says?
"Ich ging ins Bett, konnte aber nicht schlafen.","I went to bed, but I couldn't fall asleep."
Der Fußweg wandt sich durch offene Felder.,The footpath wound its way across open fields.
"Ich habe immer noch vor, mich dem Basketballteam anzuschließen.",I'm still planning on joining the basketball team.
Tom hat vor ein paar Wochen damit angefangen.,Tom started doing that a few weeks ago.
"Was bringt es, Zeitschriften zu lesen?",What's the use of reading magazines?
Die Konferenz soll in Tokio stattfinden.,The conference is to be held in Tokyo.
Tom erschien eine Stunde später.,Tom turned up an hour later.
Wie spät fängt die Vorstellung an?,What time does the performance start?
"Ich weiß nicht, ob ich Zeit habe, das zu tun.",I don't know whether I've got time to do that.
Vorläufig brauchen wir nichts.,"For the time being, we don't need anything."
Wie jung ist zu jung?,How young is too young?
Hast du das von Tom und Maria gehört?,Did you hear about Tom and Mary?
Du und Tom könnt gerne zum Essen dableiben.,You and Tom are welcome to stay for dinner.
"Ich möchte das gleiche Wörterbuch, das du hast.",I want the same dictionary as you have.
"Ich denke, das ist es, was Tom will.",I think that's what Tom wants.
Ist das so kompliziert?,Is that so complicated?
Habt ihr sonst noch etwas zu gestehen?,Do you have anything else to confess?
Wir haben bloß sichergehen wollen.,We just wanted to make sure.
Der Film war lustig.,The movie was funny.
Toms Geschäft geht sehr gut.,Tom's business is doing very well.
Mit etwas mehr Geduld hättest du das Puzzle lösen können.,You could have solved this puzzle with a little more patience.
Noch einfacher geht es nicht.,It can't get much simpler than this.
Tom hinterließ alles seinen drei Enkelsöhnen.,Tom left everything to his three grandsons.
"Meiner Meinung nach ist er ausgezeichnet und sollte nicht nur als Notmaßnahme genutzt werden, weil unsere Finanzen so strapaziert sind, sondern weil sie uns wirklich näher zusammenbringen wird.","In my opinion, it is excellent and should not just be used as an emergency measure, because our finances are so stretched, but because it will genuinely bring us closer together."
Die Höchstgeschwindigkeit betrug sechzig Meilen in der Stunde.,The speed limit was 60 mph.
Was wollt ihr studieren?,What do you want to study in college?
Hunde sind klug.,Dogs are smart.
Wessen Wagen ist das? Wissen Sie das?,Whose car is it? Do you know?
Hat Tom euch etwas zu essen gegeben?,Did Tom give you anything to eat?
"Ich habe den Verdacht, dass Tom derjenige ist, welcher das Geld gestohlen hat.",I suspect that Tom is the one who stole the money.
"Tom sagte, dass er erleichtert sei.",Tom said that he was relieved.
Ich werde Tom für dich fragen.,I'll ask Tom for you.
"Gibt es irgendein Essen, dass du nicht magst?",Is there any food you don't like?
"Ich kann gar nicht glauben, dass schon drei Jahre vergangen sind.",I can't believe that three years has already gone by.
So benimmt sich eine junge Dame nicht.,That's no way for a young lady to act.
Ich habe die Badewanne gereinigt.,I've cleaned the bath.
Tom wurde nicht hereingelassen.,Tom wasn't allowed in.
"Ich wollte seine Hilfe nicht, aber ich musste sie annehmen.","I didn't want his help, but I had to accept it."
Ich brauche Hilfe mit meiner Arbeit.,I need some help with my work.
Das Fleisch ist noch nicht gar.,The meat's not ready yet.
"Sie werden euch helfen, euch aufzuwärmen.",They will help you to get warm.
"Versprichst du, niemandem etwas zu sagen?",Do you promise not to tell anybody anything?
Der neue Chef hat das Unternehmen auf Vordermann gebracht.,The new boss has whipped the company into shape.
Tom hat als einziger auf dem Boden gesessen.,Tom was the only one sitting on the ground.
Such in den gelben Seiten!,Look through the yellow pages.
"Komm rein, Tom!","Come in, Tom."
"Ich kann so lange bei Ihnen bleiben, wie Sie mich brauchen.",I can stay with you as long as you need me to.
"In dieser Frage gab es große Unterschiede, und es ist an der Zeit, dass das Europäische Parlament erklärt, wo er steht, denn es ist nicht gut genug, zur Kenntnis zu nehmen.","There has been much prevarication on this, and it is time that the European Parliament stated where it stands, because taking note is not good enough."
Wie lange übt ihr schon?,How long have you been practicing?
Die Leute sehen dich an.,People are looking at you.
"Was man tut, ist wichtiger, als was man sagt.",What you do is more important than what you say.
"Wenn das aus irgendeinem Grund passieren sollte, was würdest du tun?","If for some reason that should happen, what would you do?"
Trotz wiederholter Ersuchen des Europäischen Parlaments ist das Register noch immer nicht zwingend vorgeschrieben.,Despite the repeated requests of the European Parliament the register has still not been made mandatory.
"Tom wollte nicht, dass Maria ihn für ein Weichei hielt.",Tom didn't want Mary to think he was a wimp.
Tom wird heute bei dir sein.,Tom will be with you today.
Japan befindet sich östlich von China.,Japan is to the east of China.
"Ich möchte wissen, wohin du gehst.",I want to know where you're going.
Haben Sie Ihren Schwimmanzug mitgebracht?,Did you bring your swimsuit?
Sie sind dir hierhin gefolgt.,They followed you here.
Sie waren nie für uns da.,You were never there for us.
Ich hatte alles versucht.,I'd tried everything.
Ohne meine Brille kann ich nichts sehen.,I can't see anything without my glasses.
Warum sind wir unterschiedlich?,Why are we different?
"Es ist praktisch überall auf der Welt möglich, mit einem Muttersprachler Englisch zu lernen.",It's possible to study English with a native speaker almost anywhere in the world.
Was haben Sie sich zu essen gekauft?,What did you buy to eat?
Du musst noch etwas anderes erledigen.,There's something else you need to do.
Das ist meine Arznei.,That's my medicine.
Wir sind nicht so verzweifelt.,We're not that desperate.
"Ich wüsste gerne, wie diese Stoffe vom Körper aufgenommen werden.",I would like to know how these substances are absorbed by the body.
Tom macht sich bestimmt Sorgen um dich.,Tom must worry about you.
Bei uns zu Hause steht als allererstes meine Mutter auf.,"In my family, the one who gets up earliest is my mother."
"Das ist, was reiche Leute tun.",It's what rich people do.
"Ich hoffe, daß ich bei dem Test nicht durchfalle.",I hope that I don't fail the test.
Vielleicht ist es noch nicht zu spät.,Maybe it's not too late.
Tom ist schwindelig.,Tom is dizzy.
"Wir arbeiten, um Geld zu verdienen.",We work to earn money.
Ich habe keine Wahl.,I have no choice.
"Es kann sein, dass die Geschichte seltsam klingt, aber es ist wahr.","The story may sound strange, but it is true."
"Wir brauchen Fakten, keine Meinungen.","We need facts, not opinions."
Hat Tom Maria geküsst?,Did Tom kiss Mary?
Ist Geld für dich wichtig?,Is money important to you?
Die Summe kam auf 3000 Yen.,"The sum came to 3,000 yen."
Ihr seid schlimmer als euer Bruder.,You're worse than your brother.
Schließ das Büro ab.,Lock the office.
"Wo hat Tom gesessen, als du gegangen bist?",Where was Tom sitting when you left?
Küss mich auf den Mund!,Kiss me on the lips.
"Ich glaube, dass sie nicht kommen wird.",I think that she won't come.
"Hollywood ist nicht mehr, was es mal war.",Hollywood isn't what it used to be.
Tom hat mir vieles beigebracht.,Tom has really taught me many things.
"Glaubst du etwa, ich mache Witze?",Do you think I'm joking?
Es nervt mich einfach.,It just bugs me.
Es wäre verwirrend.,It would be confusing.
Wollen Sie mich hypnotisieren?,Are you trying to hypnotize me?
"Das hast du doch wohl nicht gegessen, oder?","You didn't eat that, did you?"
"Wenn wir jedoch unsere Meere, Fischereien und Küstengemeinden retten wollen, ist ein neuer Ansatz erforderlich.","However, if we are to save our seas, fisheries and coastal communities, a new approach is needed."
Im Dezember 2018 veröffentlichte die Agentur einen Bericht über den medizinischen Konsum von Cannabis und Cannabinoiden sowie Fragen und Antworten für politische Entscheidungen.,"In December 2018, the agency published a report on medical use of cannabis and cannabinoids, as well as questions and answers for policy making."
Du bist ein ehrenwerter Mann.,You're an honorable man.
"Was genau möchten Sie denn eigentlich, dass ich tue?",What is it you'd like me to do exactly?
"Ich habe Hunger, denn ich habe den ganzen Tag nichts gegessen.",I'm hungry because I haven't eaten all day.
Unsere Gäste sind angekommen.,Our guests have arrived.
Wie hat Tom das alles bezahlt?,How did Tom pay for all this?
Er arbeitet bei einer amerikanischen Firma.,He works for an American company.
"Ich glaubte Tom nicht, als er sagte, dass er mich liebe.",I didn't believe Tom when he said he loved me.
Er hat sich die Haare kurz schneiden lassen.,He had his hair cut short.
In Bangladesch herrscht ein ernstes demokratiepolitisches Defizit.,There is a serious democratic deficit in Bangladesh.
"Du kannst mich nicht schlagen, Tom! Ich spiele schon seit meiner Kindheit Tennis.","You can't beat me, Tom. I've been playing tennis since I was a kid."
Das Haus ist groß.,That house is big.
Tom wird gehorchen.,Tom will obey.
"Tom war einer der gutaussehendsten jungen Männer, die Maria je erblickt hatte.",Tom was one of the most handsome young men Mary had ever seen.
Der Sommer ist vorbei.,Summer has ended.
Wir haben schon gegessen.,We already ate.
"Es wäre schön, wenn ihr kommen könntet.",It would be great if you could be there.
Wie können Menschen nur so dumm sein?,How can people be so stupid?
Das war ein törichter Entschluss.,That was a foolish decision.
"Bist du sicher, daß wir nichts übersehen?",Are you sure that we're not overlooking anything?
"Tom schien nicht zu begreifen, warum er das tun sollte.",Tom didn't seem to understand why he was supposed to do that.
Wie war noch mal dein Name?,What was your name?
Sind Sie nicht ein Austauschstudent?,Aren't you an exchange student?
Es gibt noch viele andere Sachen zu tun.,There are lots of other things we could do.
Die Temperatur fiel auf fünf Grad unter Null.,The temperature fell to five degrees below zero.
Was wissen wir über Tom?,What do we know about Tom?
Seit drei Jahren haben wir durch unsere internationale Zusammenarbeit eine Dynamik geschaffen.,For three years now we have created a momentum through our international cooperation.
