source,target
"When I opened the curtains, it was snowing.","Cuando abrí las cortinas, estaba nevando."
Have you already fed the horses?,¿Ya has dado de comer a los caballos?
There were several people hurt in the recent riots.,En los últimos desórdenes hubo varios heridos.
I should never have done it.,No debería haberlo hecho nunca.
It seems that there's someone in the cave.,Parece que hay alguien en la cueva.
I hear she's a famous actress.,Oí que ella es una actriz famosa.
"To tell the truth, I don't really like her.","A decir verdad, ella en realidad no me gusta."
Computer supplies are very expensive in Japan.,"En Japón, los repuestos para computadores son muy caros."
She hates green peppers.,Ella odia los pimientos.
Can you solve it?,¿Eres capaz de resolverlo?
Can you tell him from his brother?,¿Puede usted distinguirlo de su hermano?
Can you stand up?,¿Te puedes levantar?
Don't be late to school again.,No vuelvas a llegar tarde al colegio.
I don't want to be your enemy.,No quiero ser tu enemigo.
Tom has wavy hair.,Tom tiene pelo ondulado.
Let's see if Tom has any ideas.,Veamos si Tom tiene algunas ideas.
Why do people not always tell the truth?,¿Por qué la gente no siempre dice la verdad?
Mary is Tom's twin sister.,Mary es la hermana gemela de Tom.
Tom is a bad boy.,Tom es un chico malo.
She wanted me to come.,Quería que yo viniese.
I won't reach the factory in time.,No voy a llegar a tiempo a la fábrica.
Where's the airport?,¿Dónde está el aeropuerto?
I know I should've called first.,Sé que debí llamar primero.
Four times five is twenty.,Cuatro veces cinco es veinte.
Tom wanted to buy some souvenirs.,Tom quería comprar algunos recuerdos.
I didn't go out at all because you told me not to.,No salí a ningún lado porque tú me dijiste que no lo hiciera.
Tom thought Mary wasn't as cooperative as she should've been.,Tom pensó que Mary no era tan cooperativa como ella debería haber sido.
Do you mind if I sit down?,¿Te importa si me siento aquí?
I live in a small town.,Vivo en una ciudad pequeña.
Tom came to France with the intention of studying French.,Tom vino a Francia con la intención de estudiar francés.
They tried to escape.,Ellos intentaron escapar.
Tom didn't go to the party.,Tom no fue a la fiesta.
I thought you were only angry with me and not with the rest of my family.,"Pensé que solo estabas enojado conmigo, y no con el resto de mi familia."
I had already eaten before I arrived at the party.,Yo ya había comido antes de llegar a la fiesta.
He was late to his own wedding.,Él llegó tarde a su propia boda.
Tom took off his wedding ring.,Tom se quitó su anillo de bodas.
Tom has three pens in his pocket.,Tom tiene tres biromes en el bolsillo.
The doctors were treating the wounded.,Los médicos estuvieron curando a los heridos.
Please fill in this application form.,"Por favor, rellene este formulario."
Tom couldn't make himself understood.,Tom no podía hacerse entender.
Who's going to look after our dog?,¿Quién va a cuidar de nuestro perro?
The bank refused to give them more credit.,El banco se negó a entregarles más crédito.
The cliff hangs over the sea.,El acantilado cuelga sobre el mar.
Tom won't go even if he's invited.,Tom no irá aún si lo invitan.
No one would blame you if you left right now.,Nadie te culparía si te fueras ahora mismo.
"She advised him to visit Boston, because she thought it was the most beautiful city in the world.","Le aconsejó que visitara Boston, porque pensaba que era la ciudad más bella en el mundo."
The police are there.,La policía está allí.
I'd like for us to discuss these results.,Quisiera que discutieramos estos resultados.
It's not an easy solution.,No es una solución fácil.
You shouldn't judge a man by his appearance.,No debes juzgar a un hombre por su apariencia.
What he said doesn't make sense to me.,No llego a entender lo que dijo.
I can't speak for all of my colleagues.,No puedo hablar por todos mis compañeros.
Tom stifled a scream.,Tom contuvo un grito.
Is eating with chopsticks difficult?,¿Es difícil comer con palillos?
I don't use them.,No los uso.
I wasn't unhappy.,Yo no era infeliz.
The noise was a nuisance.,El ruido era una lata.
We should follow the teacher's advice.,Deberíamos seguir el consejo de la profesora.
Tom doesn't know why Mary didn't come to the party.,Tom no sabe por qué María no vino a la fiesta.
The old man begged me for money.,El anciano me pidió limosnas.
Your composition is perfect except for a few mistakes.,Tu composición es perfecta excepto por unos pocos errores.
I guess I was lucky.,Supongo que tuve suerte.
I drank from the tap.,Yo bebí de la canilla.
Tom had a nice chat with Mary.,Tom tuvo una charla agradable con Mary.
You never gave in to temptation.,Nunca cedisteis a la tentación.
I want to visit Boston again.,Quiero visitar Boston de nuevo.
Try to do it better next time.,Intenta hacerlo mejor la próxima vez.
I got no response from anyone.,No recibí respuesta de nadie.
Do you want to get out of here?,¿Quieres salir de aquí?
Tom ate all of the chocolate.,Tom se comió todo el chocolate.
Tom says he's going to beat you up.,Tom dice que va a darte una paliza.
Tom always uses the rice cooker that he brought back from Japan.,Tom siempre usa la olla de arroz que trajo de Japón.
Do you have a room that's a little cheaper?,¿Tiene una habitación que sea un poco más barata?
We gather here once a week.,Nos reunimos aquí una vez por semana.
The leaves fell from the trees.,Las hojas cayeron de los árboles.
The company invested a lot of money in this project.,La compañía invirtió mucho dinero en este proyecto.
I thanked Mary for her help.,Agradecí a Mary por su ayuda.
I don't want to run into Tom.,No quiero toparme con Tom.
I'll be giving a speech in Boston on Monday.,El lunes daré un discurso en Boston.
She attributed her success to good luck.,Ella atribuyó su éxito a la buena suerte.
Your thirty minutes are almost up.,Ya casi se te han acabado los treinta minutos de los que dispones.
My colleagues welcomed me very warmly.,Mis colegas me recibieron muy cálidamente.
The people liked this song.,A la gente le gustó esta canción.
The doctor thought that the patient's pulse was a little fast.,El médico pensó que el pulso del paciente era algo rápido.
Send me a message.,Mándame un mensaje.
Tom found out where Mary was.,Tom descubrió dónde estaba Mary.
I haven't finished reading this book.,No he terminado de leer este libro.
I used to respect you.,Antes te respetaba.
How am I supposed to help you if you won't tell me what's going on?,¿Cómo puedo ayudarte si no me dices qué está pasando?
I think skateboards are usually cheaper than rollerblades.,Me parece que las patinetas en general son más baratas que los patines.
You must follow school rules.,Debes seguir las reglas de la escuela.
It was a big surprise.,Fue una gran sorpresa.
The custom originated in China.,La costumbre se originó en China.
I'm amazed at his rapid progress in English.,Estoy sorprendido de su rápido progreso en inglés.
Did you play hooky yesterday?,¿Hiciste novillos ayer?
"I knew he was angry, but I didn't think he was that angry.","Sabía que él estaba enojado, pero no había pensado que él estaría así de enojado."
Our next meeting will be next Monday.,Nuestro próximo encuentro será el lunes que viene.
I knew we were in trouble then.,Sabía que teníamos problemas entonces.
Many slaves were freed.,Muchos esclavos fueron afrancados.
The experiment was successful.,El experimento fue un éxito.
"No matter how much I eat, I never get fat.","Por más que coma, yo nunca engordo."
Tom competes in ski races.,Tom compite en carreras de esquí.
None of my students failed.,Ninguno de mis estudiantes reprobó.
This is the important part.,Esta es la parte importante.
Old people are inclined to look back on the past.,Los ancianos tienden a volver la mirada al pasado.
Tom confessed to shooting Mary.,Tom admitió haberle disparado a Mary.
May I make a suggestion?,¿Puedo hacer una sugerencia?
We rented a truck to move our furniture.,Alquilamos un camión para trasladar nuestros muebles.
Camping so near the river isn't a good idea.,Acampar tan cerca del río no es buena idea.
There's no reason for me to stay.,No hay razón para que me quede.
No one will know.,Nadie lo sabrá.
This phrase seems correct to me.,Esta frase me parece correcta.
Our team is five points ahead.,Nuestro equipo lleva cinco puntos de ventaja.
I have waited a full three hours.,He estado esperando tres horas enteras.
You have to hurry.,Tienes que darte prisa.
He caught a boy stealing his watch.,Él atrapó a un muchacho robando su reloj.
Tom likes Mary's long black hair.,A Tom le gusta el pelo largo y negro de Mary.
Tom can speak French well.,Tom puede hablar bien francés.
Do you know any Greek myths?,¿Conoces algunos mitos griegos?
He was playing the piano.,Él estaba tocando el piano.
Do you want to take a look?,¿Quieres echar un vistazo?
Tom couldn't put up with Mary any longer.,Tom no podía soportar más a Mary.
I don't want you to change.,No quiero que cambies.
Which foreign language are you learning?,¿Cuál lengua extranjera aprendes?
Do you think we'll have a white Christmas this year?,¿Crees que tendremos una Navidad blanca este año?
I don't have time for this.,No tengo tiempo para esto.
Tom found his glasses and put them on.,Tom encontró sus gafas y se las puso.
I think we should move on to another topic.,Creo que deberíamos cambiar de tema.
This is not my idea of fun.,Esta no es mi idea de diversión.
I hope that you won't have to do that.,Espero que no tengas que hacerlo.
Don't eat between meals.,No comas entre comidas.
Your nose is bleeding.,Le está sangrando la nariz.
There's a phone in the kitchen.,Hay un teléfono en la cocina.
Tom abuses his authority.,Tom abusa de su autoridad.
Nobody knew what to say.,Nadie sabía qué decir.
I have nothing to tell you right now.,No tengo nada que decirte ahora mismo.
We're living with our uncle.,Estamos viviendo con nuestro tío.
Tom and Mary don't want us here.,Tom y María no nos quieren aquí.
No one is too old to learn.,Nunca se es demasiado viejo para aprender.
It sucks having a cold.,Es un asco estar resfriado.
People have a tendency to underestimate their future needs.,Las personas tienden a subestimar sus necesidades futuras.
I think you ought to listen.,Creo que deberías escuchar.
He did what they told him.,Él hizo lo que se le dijo.
"If I were in your situation, I would do the same thing.","Si estuviera en tu situación, haría lo mismo."
I need a Japanese-English dictionary.,Necesito un diccionario japonés-inglés.
I warned you.,Se lo advertí.
"With your help, we'll catch Tom.",Con tu ayuda atraparemos a Tom.
That house is very small.,Esa casa es muy pequeña.
You know everything.,Usted sabe todo.
Tom is someone who can't be trusted.,Tom es alguien que no te da confianza.
My doctor told me to quit smoking.,El médico me dijo que dejara de fumar.
He wondered why she did that.,Él se preguntaba por qué ella hizo eso.
Tom's letters stopped coming.,Dejaron de llegar cartas de Tom.
Mary is a girl.,Mary es una chica.
Have you finished cleaning your room yet?,¿Ya has terminado de limpiar tu habitación?
Tom took the pie out of the oven.,Tom sacó la tarta del horno.
I tried to put an end to the quarrel.,Intenté poner fin a la discusión.
What time did you get here this morning?,¿A qué hora llegaste esta mañana?
Tom isn't my enemy.,Tomás no es mi enemigo.
I want to talk to her.,Quiero hablar con ella.
It's a dictionary.,Es un diccionario.
Are you ready?,¿Ya estás preparada?
She fixed us a snack.,Nos preparó un aperitivo.
Has Tom eaten yet?,¿Tom ha comido ya?
This is not enough.,Eso no es suficiente.
Did you make a formal agreement with him?,¿Hizo usted un contrato en forma con él?
Computers will save you a lot of time.,Los ordenadores te ahorrarán un montón de tiempo.
Do you deny that you went there?,¿Niegas que fuiste allí?
She killed him with a knife.,Ella lo asesinó con un cuchillo.
My wife is cooking right now.,Ahora mi mujer está haciendo la comida.
The meeting finished at nine.,La reunión terminó a las nueve.
Call the police and tell them what you told me.,Llamá a la policía y contales lo que me dijiste.
I have nothing particular to say.,No tengo nada que decir en particular.
A man suddenly appeared in the doorway.,De repente apareció un hombre en la puerta.
I want to get a lot.,Quiero obtener mucho.
I first met him three years ago.,Lo conocí hace tres años.
He doesn't want to talk about it.,Él no quiere hablar de eso.
I need a little help.,Necesito un poco de ayuda.
It's really cold in this room.,En esta habitación hace mucho frío.
Some people like coffee and others prefer tea.,"A algunos les gusta el café, y otros prefieren el té."
I know how weird this is.,Sé lo raro que es esto.
She doesn't take after her mother at all.,Ella no se parece a su madre en absoluto.
I have a few friends in the United States.,Tengo algunos amigos en Estados Unidos.
Tom tried to pick up his keys with his toes.,Tom trató de recoger sus llaves con los dedos del pie.
Is this Canadian money?,¿Este es dinero canadiense?
Tom didn't know that he had a secret admirer.,Tom no sabía que tenía una admiradora secreta.
I can do that if you let me.,Puedo hacer eso si me dejas.
You're wasting your money and my time.,Estás malgastando tu plata y mi tiempo.
I'm sorry you're leaving us.,Siento que nos dejes.
"I don't think I'll ever sound like a native speaker, and I don't really think I need to.","No creo que alguna vez vaya a sonar como un hablante nativo, y en realidad no creo que lo necesite."
"No matter what we do, Tom won't be satisfied.","Hagamos lo que hagamos, Tom nunca estará contento."
"Good morning, sweetheart.","Buenos días, cariño."
What took Tom so long?,¿Qué le tomó tanto tiempo a Tom?
"""Tom will help us tomorrow."" ""I wouldn't count on it.""","""Tom nos ayudará mañana"". ""Yo no contaría con ello."""
Summer has ended.,El verano ha terminado.
They are in the kitchen.,Ellos están en la cocina.
Tom had nothing to do with that mess.,Tom no tenía nada que ver con este embrollo.
Tom banged his head.,Tom se golpeó su cabeza.
That's my wife.,Esa es mi esposa.
He dug a hole in the garden.,Él cavó un agujero en el jardín.
"Tom thinks he knows how much money Mary makes, but Mary makes quite a bit more than Tom thinks she does.","Tom cree que sabe cuánto dinero gana Mary, pero Mary gana bastante más de lo que Tom piensa."
I'm building a birdhouse.,Estoy haciendo una caseta para pájaros.
I want you to go and see if it's still there.,Quiero que vayas a ver si sigue ahí.
I drank from the tap.,Yo he bebido del grifo.
I am accustomed to living alone.,Estoy acostumbrado a vivir solo.
My cat rubbed her head against my shoulder.,Mi gata restregó su cabeza contra mi hombro.
I want you to help.,Quiero que ayudes.
Tom isn't thirsty.,Tomás no tiene sed.
Tom wanted to see me.,Tom quería verme.
It is not until you go abroad that you realize how small Japan is.,Sólo cuando vas al extranjero te das cuenta de lo pequeño que es Japón.
The ending is much more interesting.,El final es mucho más interesante.
We tend to associate politicians with hypocrisy.,Tendemos a asociar a los políticos con la hipocresía.
Your mother is very young.,Tu madre es muy joven.
Tom isn't a soldier.,Tomás no es un soldado.
Tom fell in love with his best friend's girlfriend.,Tom se enamoró de la novia de su mejor amigo.
Some people are allergic to wheat.,Algunas personas son alérgicas al trigo.
I heard that Tom had been smuggling drugs into America for years before he got caught.,Oí que Tom había estado por años contrabandeando drogas a América antes de ser capturado.
He was put in prison.,Lo metieron preso.
Where did you go yesterday?,¿Adónde fuiste ayer?
I don't want to talk about love.,No quiero hablar de amor.
I have an egg.,Tengo un huevo.
It's about three kilometers from here to the coast.,De aquí a la costa son unos 3 kilómetros.
The students demonstrated against the new government.,Los estudiantes se han manifestado contra el nuevo gobierno.
Why do you not want to tell him about her?,¿Por qué no le quieres contar lo de ella?
There are fifty families in this village.,En este pueblo hay cincuenta familias.
Do you want to be rich?,¿Quiere ser rico?
Didn't I tell you to close the door?,¿No te dije que cerraras la puerta?
He put all his money in the box.,Él puso todo su dinero en la caja.
Tom is an intriguing guy.,Tom es un tipo intrigante.
It can't possibly work.,Es imposible que funcione.
My car's in the garage.,Mi auto está en la cochera.
I don't feel like it right now.,En este momento no tengo ganas.
Tom and Mary are very hungry.,Tom y Mary están muy hambrientos.
How much longer will I have to stay in the hospital?,¿Por cuánto tiempo más me debo quedar en el hospital?
The witness stated his name.,El testigo indicó su nombre.
He works as a gondolier in Venice.,Él trabaja como gondolero en Venecia.
He went deaf as a result of an accident.,Se quedó sordo como resultado de un accidente.
You are very brave.,Sos muy valiente.
The prisoners themselves could say nothing.,Los mismos prisioneros no pudieron decir nada.
We still want to win.,Todavía queremos ganar.
She has to look after her mother.,Ella tiene que cuidar a su madre.
Tom got what he wanted.,Tom consiguió lo que quería.
I know this will work.,Sé que esto funcionará.
We don't have enough room.,No tenemos suficiente espacio.
She is in bed with a cold.,Ella está resfriada y en cama.
She isn't good enough for him.,Ella no es lo suficientemente buena para él.
Tom should have listened to Mary more carefully.,Tom debía haber escuchado a Mary con más cuidado.
I can't hear you very well.,No te puedo oír muy bien.
I own a computer.,Tengo una computadora.
Show me how to do it.,Muéstrame cómo hacerlo.
Tom ate what little food he had left.,Tom se comió la poca comida que le quedaba.
Tom looks surprised.,Tom parece sorprendido.
She whispered something to him.,Ella le susurró algo.
You can stay here tonight.,Puedes pasar la noche aquí.
I'm not at all hungry.,No tengo nada de hambre.
The earth is small compared with the sun.,La Tierra es pequeña si la comparamos con el Sol.
You mustn't stay out that late.,No debéis quedaros fuera tan tarde.
Buddhism had its beginnings in India.,El budismo tuvo sus orígenes en la India.
How's work going?,¿Cómo va tu trabajo?
Be careful about what you eat.,Tenga cuidado con lo que come.
I'll pay you as soon as you're done.,"En cuanto termines, te pago."
I am also unemployed.,Yo también estoy desempleado.
"Hurry up, or we'll miss the train.","¡Date prisa, qué perdemos el tren!"
Tom abandoned the hope of becoming an actor.,Tom perdió las esperanzas de volverse actor.
"With your skills, I'm sure it wouldn't be too hard to find another job.","Con vuestras habilidades, estoy segura de que no sería muy difícil encontrar otro trabajo."
That isn't the response we expected.,Esa no es la respuesta que esperábamos.
My friend is seventeen.,Mi amigo tiene diecisiete años.
The coffee was too hot for me to drink.,El café estaba demasiado caliente para beberlo.
Many of us were tired.,Muchos de nosotros estábamos cansados.
His family circumstances were such that he became a teacher out of necessity.,Las circunstancias de su familia eran tales que él se hizo profesor por las necesidades.
He's an important person in the FBI.,Él es una persona importante en el FBI.
She likes Russian pop.,A ella le gusta el pop ruso.
I have a serious skin problem.,Tengo un serio problema a la piel.
The train is very fast.,El tren es muy rápido.
Children say such stupid things.,Los niños dicen cosas tan estúpidas.
Keep in touch with me.,Sigue en contacto conmigo.
Tom might cry.,Tom podría llorar.
"Cats are aloof, guinea pigs are nervous, and dogs need constant love and attention.","Los gatos son distantes, las cobayas son nerviosas y los perros necesitan cariño constante y atención."
I think it's time for us to come to an agreement.,Creo que es hora de que lleguemos a un acuerdo.
"They stayed at home, because it rained.",Se quedaron en casa porque estaba lloviendo.
"Immediately after the bell rang, the teacher came into the classroom.",El profesor entró en el aula inmediatamente después de que sonara el timbre.
We followed the course of the river.,Seguimos el curso del río.
Tom can barely pay his rent.,Tom apenas puede pagar la renta.
I didn't know what had happened.,No sabía lo que había pasado.
I hid it under my bed.,Lo escondí debajo de mi cama.
Don't believe everything people tell you.,No creas todo lo que te diga la gente.
"Tom was shorter than me in junior high school, but now he's taller than me.","Tom era más bajo que yo en la escuela secundaria, pero ahora es más alto que yo."
Tom couldn't control himself when he saw Mary kissing John.,Tomás no se pudo controlar al ver a María besando a Juan.
Croatia is in the southeastern part of Europe.,Croacia está en el sudeste de Europa.
Will you stay at home?,¿Te quedarás en casa?
You're not even listening to what I'm telling you.,Ni siquiera estás escuchando lo que te estoy diciendo.
What's it called?,¿Cómo se llama eso?
He's a lovely young man.,Es un muchacho encantador.
Many people were deceived by the advertisement.,Mucha gente fue engañada por ese anuncio.
The new government has financial troubles.,El nuevo gobierno tiene problemas financieros.
Tom and I did that.,Tom y yo lo hicimos.
I'm all out of tricks.,Se me agotaron los trucos.
Don't use the black pen.,No uses el bolígrafo negro.
I suppose they're coming.,Supongo que están viniendo.
Tom is on the back porch.,Tom está en el porche de atrás.
You've earned a good rest.,Se han ganado un buen descanso.
Is Tom famous?,¿Tom es famoso?
Women like to talk.,A las mujeres les gusta hablar.
Somebody threw a brick through my window.,Alguien lanzó un ladrillo por mi ventana.
What has happened to Tom?,¿Qué le ha pasado a Tom?
I have lost my key.,He perdido la llave.
I think my plan is better than yours.,Creo que mi plan es mejor que el tuyo.
She had to study hard to catch up with her classmates.,Tuvo que estudiar mucho para ponerse al día con sus compañeros de clase.
I think it's time for me to stop allowing her to always have her own way.,Creo que es hora de dejar de permitirle que se salga siempre con la suya.
Stop arguing about money.,Dejen de discutir por dinero.
Please show me the menu.,"Enséñeme el menú, por favor."
Tom was killed on Monday.,Tom fue asesinado el lunes.
How was your night?,¿Cómo estuvo tu noche?
Tom felt responsible for Mary's accident.,Tom se sintió responsable por el accidente de Mary.
It's also written in French.,También está escrito en francés.
Tom committed suicide by jumping in front of a train.,Tom se suicidó saltando frente a un tren.
I knew it could happen.,Yo sabía que podía ocurrir.
I can be your best friend or your worst enemy.,Puedo ser tu mejor amigo o tu peor enemigo.
Do you remember what time it was when you heard the explosion?,¿Te acuerdas de qué hora era cuando escuchaste la explosión?
You can have the day off.,Puedes cogerte el día libre.
No news is good news. If you haven't heard from your son it's because he's doing well.,No tener noticias son buenas noticias. Si no has oído de tu hijo es porque le está yendo bien.
I am a shy boy.,Soy un hombre tímido.
Are there any Japanese restaurants near here?,¿Hay algún restaurante japonés por aquí cerca?
Tom built his own house.,Tom construyó su propia casa.
Are antibiotics sold over the counter in your country?,¿Se venden antibióticos sin receta en tu país?
Tom is my dad.,Tom es mi papá.
Drunk people often do stupid things.,Los borrachos a menudo hacen cosas estúpidas.
I love French movies.,Me encantan las películas francesas.
How confident are you that they'll get these repairs completed by Monday?,¿Cuánto confías en que acabarán las reparaciones el lunes?
Tom is not my son.,Tom no es mi hijo.
"You're busy today, aren't you?","Hoy estás ocupado, ¿verdad?"
I am glad to run into you here.,Me alegra haberte encontrado acá.
Is it worth the risk?,¿Seguro que vale la pena?
What's your favorite dessert with bananas?,¿Cuál es tu postre favorito con plátanos?
Tom has the perfect alibi.,Tom tiene la coartada perfecta.
Mary said Tom was in trouble.,Mary dijo que Tom tenía problemas.
Tell her that I am peeling the potatoes.,Díganle que yo pelo las patatas.
A teacher's salary is less than an attorney's.,El sueldo de un maestro es menor que el de un abogado.
Tom asked me if I was happy or not.,Tom me preguntó si acaso era feliz o no.
That helps a lot.,Ha sido una gran ayuda.
Sign above this line.,Firma sobre esta línea.
He's always been living in Tokyo.,Él siempre ha vivido en Tokio.
You are not at all wrong.,No están equivocados del todo.
I didn't want to swim.,No quería nadar.
Tom found what he was looking for.,Tom encontró lo que buscaba.
The weather's nice.,El clima está agradable.
Please wait until I get there.,"Por favor, espérame allí hasta que llegue."
Ring the bell in an emergency.,Toca la campana en caso de emergencia.
"If you think you're someone, you stop becoming someone.","Si piensas que eres alguien, dejas de convertirte en alguien."
I love parties.,Me encantan las fiestas.
You'll be one of us soon.,Pronto serás una de los nuestras.
She can play the drum.,Ella puede tocar batería.
I don't want to bother her.,No quiero molestarla.
That sounds scary.,Eso suena aterrador.
"Hi, I'm Tom, and this is Mary.","Hola, me llamo Tom, y ella es Mary."
Bring your brother.,Traiga a su hermano.
He betrayed my confidence.,Abusó de mi confianza.
Be careful not to break these eggs.,Ten cuidado para no romper los huevos.
Vinegar is an acid.,El vinagre es un ácido.
Maybe you have a better solution.,Quizá tienes una solución mejor.
Tom has changed a lot since then.,Tom ha cambiado mucho desde entonces.
I can't afford the time to travel.,No encuentro tiempo para viajar.
There was little furniture in the room.,Había pocos muebles en la sala.
Do it to the best of your abilities.,Hazlo lo mejor que puedas.
Have you ever been diagnosed with diabetes?,¿Te han diagnosticado alguna vez de diabetes?
How can I find Tom?,¿Cómo puedo encontrar a Tom?
That movie theater always shows good movies.,En ese cine siempre dan buenas películas.
"As for me, I like chicken better than pork.","En mi caso, prefiero el pollo al cerdo."
I haven't spoken with anyone today.,Hoy no he hablado con nadie.
Only a few people listened to him.,Solo unas pocas personas lo escucharon.
She played the piano well enough.,Ella tocó el piano bastante bien.
Tom thinks I love Mary.,Tom piensa que quiero a Mary.
"How do you say ""thank you"" in French?","¿Cómo se dice ""gracias"" en francés?"
Here is the map.,Aquí está el mapa.
"Tom, Mary and John sat around the kitchen table.","Tom, Mary y John se sentaron alrededor de la mesa de la cocina."
I read the entire works of Milton over the holiday.,Leí las obras completas de Milton durante las vacaciones.
I almost spilled coffee on my keyboard.,Casi derramo café sobre mi teclado.
"My mother has a driver's license, but she doesn't drive a car.","Mi mamá tiene licencia de conducir, pero no conduce un auto."
I sprained my finger while playing volleyball.,Me torcí el dedo mientras jugaba voleibol.
"If we were supposed to talk more than listen, we would have been given two mouths and one ear.",Si tuviéramos que hablar más que escuchar tendríamos dos bocas y una oreja.
They sell many types of food and grocery products.,Allí venden numerosos productos variados y de alimentación.
"Tom is in the kitchen, heating up leftovers.","Tom está en la cocina, calentando las sobras."
There are a great number of schools in this city.,En esta ciudad hay muchas escuelas.
Tom didn't have much time so he just quickly scanned the report.,"Tom no tenía mucho tiempo, así que tan sólo escaneó rápidamente el reporte."
He has an interesting book.,Él tiene un libro interesante.
No one wants to go there.,Nadie quiere ir allí.
We need your key.,Necesitamos su llave.
He's very intelligent.,Él es muy inteligente.
Tom found something hidden behind the chest of drawers.,Tom encontró algo que estaba escondido detrás de la cómoda.
My head ached.,Me dolía la cabeza.
I'm glad I'm a boy.,Me alegro de ser chico.
It did not come off.,No se salió.
They say that girls spend more time worrying about how they look than boys do.,Dicen que las chicas pasan más tiempo preocupándose por su aspecto que los chicos.
Can you imagine what life would be like without television?,¿Te puedes imaginar cómo sería la vida sin televisión?
When was the last time you took the subway?,¿Cuándo fue la última vez que tomaste el metro?
"All of a sudden, all the lights went out.","De repente, todas las luces se apagaron."
Where did you put them?,¿Dónde los pusiste?
I appreciate the advice.,Aprecio el consejo.
