source,target
Me quedaré con Tom hasta que vuelvas.,I'll stay with Tom until you come back.
La producción en masa reduce el costo de ciertos productos.,Mass production lowers the cost of certain goods.
Habría sido imposible sin tu ayuda.,It would've been impossible without your help.
¿Te puedo decir algo?,May I say something?
Hay algo que tenés que saber.,There is something you must know.
Baja por las escaleras.,Go down the stairs.
Ella perdió a su único hijo en un accidente de tránsito.,She lost her only son in the traffic accident.
Todavía tienes tiempo.,You still have time.
Ella te entiende ahora.,She understands you now.
Me ahogo en esta habitación tan pequeña y calurosa.,This room's so small and hot that I'm suffocating.
No lo escuché.,I didn't hear it.
Es fácil de preparar.,It's easy to prepare.
La causa principal de su fracaso es la pereza.,The primary cause of his failure is laziness.
Casualmente lo tengo aquí.,I happen to have it right here.
Creo que ya te has hartado de Tom.,It sounds to me like you've had enough of Tom.
¿Quién tiene el arma?,Who has the gun?
Los aspectos típicos de una cultura ajena cambian por los aspectos típicos de la cultura local de los traductores.,The typical elements of a foreign culture are changed into the typical elements of the local culture of translators.
Tengo que llamar al médico.,I must send for the doctor.
Puedes quedarte aquí todo el tiempo que desees.,You can stay here as long as you want.
Voy a tener que pasar de eso.,I'm going to have to pass on that.
¿Esto es lo que queréis?,Is this what you want?
Es virtualmente imposible.,It's virtually impossible.
Tengo un gato y un perro. El gato es negro y el perro es blanco.,I have a cat and a dog. The cat's black and the dog's white.
Tom le apreció a Mary su apoyo.,Tom appreciated Mary's support.
Parece que tengo un leve resfriado.,It seems I have a slight cold.
Él rehusó hacer mucha campaña.,He refused to do much campaigning.
Tom tiene tres sobrinas.,Tom has three nieces.
Su precio está por debajo del nuestro.,Their price is below ours.
¿Quieres encargarte de eso?,Do you want to take care of that?
Tom se puso a cubierto.,Tom ducked for cover.
Ya lo hemos discutido.,We've already discussed it.
Me pregunto si Tom sabe que Mary no habla francés.,I wonder if Tom knows that Mary can't speak French.
Oí que anoche comiste filete para la cena.,I heard that you ate steak for dinner last night.
Después de conferenciar varias horas hicieron públicos los acuerdos.,"After conferring for several hours, they made the agreements public."
Esto es lo que tienen que hacer.,This is what you must do.
Él aprenderá a hacerlo en tres horas.,He will learn to do it in three hours.
Derrotamos al enemigo.,We defeated the enemy.
Él hizo todo lo que pudo por el bien de sus hijos.,He did everything he could do for the sake of his children.
Sé lo que oí.,I know what I heard.
Tom tenía una ardilla como mascota.,Tom kept a squirrel as a pet.
La razón por la que decidió volver a casa es que estaba enfermo.,It was because he was ill that he decided to return home.
Ellos siguieron peleando contra los invasores año tras año.,They continued fighting against the invaders year after year.
Una pistola no te servirá de mucho si no estás dispuesto a dispararla.,A gun won't do you much good if you're not willing to shoot it.
¿Has terminado ya tus compras navideñas?,Have you already finished your Christmas shopping?
"Contra la nieve, el conejo blanco era invisible.","Against the snow, the white rabbit was invisible."
No usemos nuestros verdaderos nombres.,Let's not use our real names.
Ella me dio una hoja de papel.,She handed me a sheet of paper.
¡Para ya de molestar!,Stop bothering me!
"Dígame cómo llegar a la playa, por favor.",Please tell me how to get to the beach.
¿Cuándo se celebrará la fiesta?,When will the party take place?
Habla alto y claro.,Speak loud and clear.
¿Sientes que tu futuro no tiene esperanza?,Do you feel like your future is hopeless?
Sos muy terco.,You're so stubborn.
Llamó a su perro Popeye.,He named his dog Popeye.
Tiene muchos amigos.,You have many friends.
Esta abierto desde las 10 a las 18 horas todo el año.,It's open year-round from 10 a.m. to 6 p.m.
¿Quieres una taza de leche?,Would you like a cup of milk?
Vivir ahí tenía sus altibajos.,Living there had its downsides.
Disuelva azúcar en agua caliente.,Dissolve sugar in hot water.
No estoy de acuerdo.,I don't agree.
Él estará de vuelta en un día o dos.,He will be back in a day or two.
No es tan fácil como la gente piensa.,It's not as easy as people think.
¿Te gustaría aprender inglés como un hablante nativo en dos semanas?,Would you like to learn to speak English like a native speaker in two weeks?
No creo que nadie notara lo que hicimos.,I don't think anyone noticed what we did.
Digo que vale la pena intentarlo.,I say it's worth a try.
Tom no sabe lo que ocurrió.,Tom doesn't know what happened.
Tom y María ahora están a solas.,Tom and Mary are now alone.
"Después de una tormenta, viene la calma.",After a storm comes a calm.
Deja ya de llorar.,Stop crying already.
"Ya que estás aquí, sería mejor que te metieras a la tina.","As long as you're here, you'd better take a bath."
¿Lavaste los trastes?,Have you washed the dishes?
Puede contactarse conmigo mañana.,You can get in touch with me tomorrow.
Ella nos invitó a Tom y a mí a la fiesta.,She invited Tom and me to the party.
Va a una escuela para sordos.,He goes to a school for the deaf.
Me llevo bien con ella.,I get along well with her.
Tom tiene una corazonada.,Tom has a hunch.
Ella solía ir al museo los domingos.,She used to go to the museum on Sundays.
¿Desenterraron las papas?,Have you dug up the potatoes?
Mi sobrina está obsesionada con los arcoíris y los unicornios.,My niece is obsessed with rainbows and unicorns.
Yo he estado aquí por más tiempo.,I've been here the longest.
La licencia de conducir de Tom caduca el próximo mes.,Tom's driver's license will expire next month.
Yo jugaba al tenis.,I was playing tennis.
¡Estoy absolutamente seguro!,I'm absolutely sure!
Estuvo caluroso y húmedo.,It's been hot and humid.
Miro una película.,I'm watching a movie.
Lo vi arrestado por la policía.,I saw him caught by the police.
"Eso es verdad, ¿no es así?","That's true, isn't it?"
Tengo muchos amigos en el extranjero.,I have many friends in foreign countries.
Tom estuvo con Mary todo el día.,Tom was with Mary all day.
Debemos unirnos como un equipo.,We have to come together as a team.
Se usó un martillo para romper la ventana.,A hammer was used to break the window.
Esto es fascinante.,This is fascinating.
La familia real vive en el Palacio Imperial.,The royal family lives in the Imperial Palace.
¡Auch! ¡Me picó una abeja!,Ouch!! I've been stung by a bee!!
Tom ha perdido su tarjeta de acceso.,Tom has lost his keycard.
"Estrictamente hablando, hubo varios errores en su discurso.","Strictly speaking, there were some mistakes in his speech."
¿Qué es lo que Tom tiene que decir al respecto?,What does Tom have to say?
Soy el nuevo profesor.,I'm the new teacher.
Tom no quiere comer nada.,Tom doesn't want anything to eat.
"Incluso ahora, a veces pienso que me gustaría verte. No como eres hoy, sino como te recuerdo.","Even now, I occasionally think I'd like to see you. Not the you that you are today, but the you I remember from the past."
No mandes esa carta.,Don't send that letter.
¿Podría usar el baño?,May I use the toilet?
Ella le quiere.,She loves him.
El sake se hace con arroz.,We make sake from rice.
El paquete fue dirigido a Tom.,The package was addressed to Tom.
Hombres ricos suelen casarse con jóvenes mujeres trofeo.,Wealthy older men often marry younger trophy wives.
Ella es capaz de enseñar tanto inglés como francés.,She is capable of teaching both English and French.
Este boche es fastidioso.,This noise is annoying.
¿Recuerdan ustedes lo que me prometieron?,Do you remember your promise to me?
Esta brújula os será útil en el viaje.,This compass will be useful on your trip.
No quiero vivir en Boston.,I don't want to live in Boston.
Se calentaron al sol.,They warmed themselves in the sun.
Probablemente no volveré a ver a Tom jamás de nuevo.,I probably won't ever see Tom again.
Lo hizo a su cuenta y riesgo.,He did it at his own risk.
El tratado prohíbe las bombas atómicas y de hidrógeno.,The treaty bans atomic bombs and hydrogen bombs.
"De repente, hubo un periodo de terrible violencia y odio entre blancos y negros.","Suddenly, there was a period of terrible violence and hatred between blacks and whites."
Aquí hay una pequeña laguna.,There is a small pond here.
Murió cuando tenía apenas treinta años.,He died when he was scarcely thirty.
Estos cuadros son bonitos.,These pictures are beautiful.
Le diré a los otros.,I'll go tell the others.
Estoy interesado en el inglés.,I am interested in English.
Nos encanta estar aquí.,We love it here.
"Tal como acabas de decir, no tenemos ni la más mínima oportunidad.","Like you just said, we don't have the slightest chance."
Hoy no hace nada de viento.,There is no wind today.
Ayer leí hasta la página 80 del libro.,I read the book up to page 80 yesterday.
Déjenme contarles lo que hice hoy.,Let me tell you what I did today.
Vamos a ajustar las cuentas.,Let's settle accounts.
Ellos pelearon por la libertad.,They fought for freedom.
El bus sale cada diez minutos.,The bus leaves every ten minutes.
En este momento los dos estamos demasiado ocupados para ayudarte.,We're both way too busy to help you right now.
El coste de la gasolina sigue subiendo.,The cost of gasoline keeps on going up.
Tom encontró lo que estaba buscando debajo de la mesa.,Tom found what he was looking for under the table.
"Haz la cama, por favor.",Please make the bed.
¡Muchas gracias por su ayuda!,Thank you so much for your help.
Quiero a mi familia de vuelta.,I want my family back.
Yo era joven en aquel entonces.,I was young at the time.
Tom cuida bien de los pájaros.,Tom takes good care of the birds.
¿A qué edad quieres casarte?,At what age do you want to get married?
Sus padres eran terriblemente pobres y no pudieron enviar a su hijo a la universidad.,His parents were too poor to send their son to college.
El tren estaba justo saliendo de la estación.,The train was about to leave the station.
¿Ganó usted el caso?,Did you win the case?
Los dos bandos firmaron un tratado de paz.,The two sides signed a peace treaty.
Mi hermano murió en un accidente de tránsito.,My brother was killed in a traffic accident.
Me costó más de un mes recuperarme de mi resfriado.,It took me more than a month to get over my cold.
Mira el mapa de la página 25.,Look at the map on page 25.
Tienes que ayudarla.,You must help her.
Esta caja es lo suficientemente liviana para que él la lleve.,This box is light enough for him to carry.
Tom no desayunó esta mañana.,Tom didn't eat breakfast this morning.
Tengo mucho dinero en mi cuenta de ahorro.,I have a lot of money in my savings account.
Podría llover esta noche.,It may rain tonight.
No tuvimos que correr.,We didn't have to run.
No quiero pasarme todo el día haciendo esto.,I don't want to spend all day doing this.
Él rara vez fue ahí.,He almost never went there.
Habría llegado antes si no hubiera tenido atasco.,I would've arrived earlier if there hadn't been a traffic jam.
"Traeme el diario de hoy, por favor.","Bring me today's paper, please."
¿Qué vas a hacer en la universidad?,What are you going to do in college?
Engañaste a Tom del todo.,You certainly fooled Tom.
Su mujer es francesa.,His wife is French.
¿Te gusta la literatura francesa?,Do you like French literature?
Tom sentía que le debía a María la verdad.,Tom felt he owed Mary the truth.
Mi habitación está en el piso de arriba.,My room is upstairs.
Ella dijo que volvería pronto.,She said she would be back soon.
Me gustaría que me llamaras Tom.,I'd like you to call me Tom.
Quiero que te vayas inmediatamente.,I want you to leave right away.
No debes hacer ruido en clase.,You must not make noises in the classroom.
El autor dedicó el libro a su hermana.,The author dedicated the book to his sister.
Tom parece ser incapaz de interactuar normalmente con otras personas.,Tom seems to be unable to interact normally with other people.
Bebí del grifo.,I drank from the tap.
Tom va a echar de menos hacer eso.,Tom is going to miss doing that.
"Tráeme una taza de café, ¿quieres?","Bring me a cup of coffee, will you?"
Ya te lo he mencionado antes.,I've mentioned it to you before.
Supongo que lo descubriré.,I guess I'll find out.
Deberías hablar tú mismo con el profesor.,You should talk to the teacher yourself.
"¿Puede envolverlo para regalo, por favor?","Can you gift-wrap this, please?"
Estoy libre el domingo.,I'm free on Sunday.
El cielo es color gris.,The sky is gray.
No hay riesgo.,There's no risk.
Ahora veo la vida de un modo diferente.,I see life differently now.
Es difícil distinguirte de tu hermano.,It's hard to tell you from your brother.
Me encantaría ver la película.,I'd love to see the movie.
Esto te va a volar la mente.,This is going to blow your mind.
Apuesto a que hoy tenemos prueba.,I bet we'll have a test today.
Juego tenis una hora al día.,I play tennis an hour a day.
"Si tienes preguntas, no dudes en levantar la voz.","If you have questions, don't hesitate to jump in."
Lavate las manos antes de comer.,Wash your hands before you eat.
No necesito nada de usted.,I don't need anything from you.
Tom es capaz de hacerlo.,Tom is capable of doing it.
He estado en contacto permanente con Tom.,I've been in constant contact with Tom.
Tom no quería que Mary trabajase.,Tom didn't want Mary to work.
Mi hermano menor es más alto que yo.,My younger brother is taller than me.
Las exportaciones se han estado ralentizando.,Exports have been sluggish.
"Disculpe, ¿puede ayudarme?","Excuse me, but can you help me?"
Quiero que tengas éxito.,I want you to succeed.
Se calentó en la estufa.,He warmed himself at the stove.
"Él dijo: ""son las nueve.""","He said, ""It's nine o'clock."""
Quiero saber quién sos.,I want to know who you are.
Será mejor que vengas conmigo.,You'd better come with me.
No tienes opción.,You don't have a choice.
Tuve que caminar porque no había taxis.,I had to walk because there were no taxis.
"Sorprendentemente, no había ninguna persona en el pueblo.","To my surprise, there were no people in the village."
Tom quiere saber por qué no le regresó usted la llamada.,Tom wants to know why you didn't call him back.
¿Cuánto te gastas a la semana?,How much do you spend a week?
¿Trabajas el lunes?,Do you work on Monday?
La materia que discutimos es interesante.,The matter we're discussing is interesting.
Esta semana estoy ocupado.,I'm busy this week.
Tom quería que Mary le trajera una taza de café.,Tom wanted Mary to bring him a cup of coffee.
Ya habré terminado de leer esta novela para cuando vengas mañana.,I'll have finished reading this novel by the time you come tomorrow.
Eres lo suficientemente grande para hacerlo por ti mismo.,You're already big enough to do it by yourself.
¿Te gusta el jugo?,Do you like juice?
"Después de abofetear a Tom, Mary se fue corriendo de la habitación.","After slapping Tom, Mary ran out of the room."
Tom jamás te habría vendido su coche.,Tom would never sell his car to you.
Tuve un sueño agradable la pasada noche.,I had a pleasant dream last night.
Tienes que quedarte aquí.,You have to stay here.
Es una lástima que Tomás no pueda venir.,It's a pity that Tom can't come.
Tres de los hombres implicados en el accidente fueron hospitalizados.,Three of the men involved in the accident were hospitalized.
¿Me avisás cuando él llegue?,Will you let me know when he comes?
¿Cómo podría resistirme?,How could I resist?
¿Qué tan lejos está la próxima gasolinera?,How far is the next gas station?
El oro es mucho más pesado que el agua.,Gold is far heavier than water.
Lo hice por mi cuenta.,I myself did it.
El olor era desagradable.,The smell was offensive.
No lograron nada.,They accomplished nothing.
Mary fue enterrada junto a su esposo.,Mary was buried next to her husband.
No puedo ver nada sin mis gafas.,I can't see anything without my glasses.
¿Están ustedes enamorados de alguien?,Are you in love with someone?
Nagoya queda entre Tokio y Osaka.,Nagoya lies between Tokyo and Osaka.
No puedo creer que Tom nunca hablase a Mary de John.,I can't believe Tom never told Mary about John.
Él es considerado un gran político.,He's considered to be a great politician.
"Si no comes, te morirás.","If you don't eat, you'll die."
He visto cosas que desearía no haber visto.,I've seen things I wished I hadn't seen.
Quiero saber dónde están.,I want to know where they are.
¿Qué te parece la idea de ir de viaje en bus?,What do you think of the idea of making a bus trip?
¿Tienes noticias de él a menudo?,Do you often hear from him?
Creo que estoy enamorado de ella.,I think I'm in love with her.
Tom hizo una foto de su propia cámara.,Tom took a picture of his own camera.
¿Adónde vas a ir en tus vacaciones?,Where are you going to go on your vacation?
"Esta señal significa ""no caminar"".","This signal means ""don't walk."""
Él está orgulloso de su puntualidad.,He is proud of his punctuality.
Él negoció un precio más bajo con el agente inmobiliario.,He negotiated a lower price with the real estate agent.
"Él es joven, ingenuo y sin experiencia.","He's young, naive and inexperienced."
Su familia entera es así.,His whole family is like that.
Esta ventana no abrirá.,This window won't open.
Yo también pasé un buen rato.,"I had a good time, too."
Tom dice que ya no quiere seguir trabajando aquí.,Tom says he doesn't want to work here anymore.
Sus hijos hacen lo que se les antoja.,His sons do as they please.
Tom mostró a Mary una foto de John.,Tom showed Mary a photo of John.
Hay alguien en la puerta.,There's somebody at the door.
¿Dónde está el baño?,Where is the bathroom?
Tom me ha dicho que disminuya la velocidad.,Tom told me to slow down.
¿Has elegido un libro interesante para tu hijo?,Did you choose an interesting book for your son?
No tenemos más en stock.,We have no more in stock.
Tom llevó a su familia al zoológico.,Tom took his family to the zoo.
¿Por qué son todos tan malos conmigo?,Why is everyone so mean to me?
Los elefantes están en peligro de extinción.,Elephants are in danger of dying out.
¿Lo escuchaste a Tom hablando en francés?,Have you heard Tom speaking French?
Los dos tienen hambre.,Both of them are hungry.
El televisor en blanco y negro está obsoleto.,Black-and-white TVs are obsolete.
¿Es este tu perro?,Is this your dog?
La casa que Tom construyó es realmente bonita.,The house that Tom built is really nice.
Estábamos sorprendidos de su conducta.,We were surprised at his conduct.
Él es alemán de nacimiento.,He is German by birth.
El niño que yo tenía por sincero me engañó.,The boy I thought was honest deceived me.
El pájaro está en su nido.,The bird is in its nest.
Será mejor que le vea.,I'd better see him.
Nosotros tenemos pocos fondos disponibles para la investigación.,We have little money available for the research.
Todos quieren a Tom.,Everybody likes Tom.
Sé lo que diría Tom.,I know what Tom would say.
Él intentó librarse de las hormigas.,He tried to get rid of the ants.
Tomás no parecía muy entusiasmado.,Tom didn't seem very enthusiastic.
Pensé que ya había visto a Tom en alguna parte.,I thought I had seen Tom somewhere before.
Quiero algo para comer.,I want something to eat.
Sos un machista.,You're a sexist.
Aún no me has dicho dónde vives.,You still haven't told me where you live.
Tom pensaba que Mary era canadiense.,Tom thought that Mary was a Canadian.
Tom es profesor adjunto.,Tom is a teaching assistant.
¿Tom tiene la llave de tu apartamento?,Does Tom have a key to your apartment?
Quiero que vayas a Boston.,I want you to go to Boston.
Tom trató de conseguir que Mary le ayudara a John.,Tom tried to get Mary to help John.
¿Estás segura de que no quieres que te ayude con tu tarea?,Are you sure you don't want me to help you with your homework?
Estoy mejor que él.,I'm better than him.
Ella empezó a bailar cuando tenía ocho años.,She started dancing when she was eight.
¿Os molesta si fumo?,Do you mind if I smoke?
"Tom parece tristísimo, ¿no?","Tom seems awfully sad, doesn't he?"
Este libro solo está en una tienda.,This book is available at one shop only.
¿Cuándo son las elecciones?,When are the elections?
No me molesta compartir la habitación con él.,I don't mind sharing the room with him.
Ya me lo habían dicho.,They already told me.
Ve y ayuda a tu madre con los platos.,Go help your mom with the dishes.
Ella tenía una flor en su mano.,She had a flower in her hand.
"Sí le dijiste a Tom, ¿cierto?","You did tell Tom about that, right?"
¿Hay algo que necesites?,Is there something you need?
Debería habértelo dicho.,I should've told you.
Tom es el siguiente.,Tom is next.
Lo he dicho un millón de veces.,I've said this a million times.
Quiero expresar mi más profundo agradecimiento por su bondad.,I wish to express my deep appreciation for your kindness.
Semejante idea es repugnante para ella.,Such an idea is abhorrent to her.
He resuelto el misterio.,I solved the mystery.
La ciudad está ganando popularidad como un importante destino turístico.,The city is gaining popularity as a major tourist destination.
El petróleo ha jugado un papel importante en el progreso de la industria japonesa.,Oil has played an important part in the progress of Japanese industry.
El policía sospechaba que el hombre era culpable.,The policeman suspected the man was guilty.
El cocodrilo es un animal protegido.,The crocodile is a protected species.
Tengo sueño. Me voy a dormir. Buenas noches.,I'm sleepy. I'm going to sleep. Good night.
La transición no será sencilla.,The transition won't be easy.
Tom hizo el primer gol del partido.,Tom scored the first goal of the game.
"No importa cuanto lo intente, no puedo nadar hasta esa roca.","No matter how hard I try, I can't swim to that rock."
Te debes quedar aquí.,You must stay here.
"¿Me podés traer una almohada y una colcha, por favor?","Could you bring me a pillow and blanket, please?"
Ahora ella está en peligro.,She is now in danger.
¿Me enseñas a jugar al ajedrez?,Would you teach me how to play chess?
No debiste haber tomado prestado el auto de Tom.,You shouldn't have borrowed Tom's car.
¿Puedo fumar aquí?,May I smoke here?
Estoy muerta de cansancio.,I'm dead tired.
Los buzos quedaron atrapados en la caverna.,The divers were trapped in the cave.
"Mientras hay vida, hay esperanza.","As long as there's life, there's hope."
Quiero mi propia habitación.,I want my own room.
"No regresó por añoranza, sinó porque se estaba quedando sin dinero.","He came back not because he was homesick, but because he was running short of money."
Estoy a su disposición.,I'm at your service.
Deberías haberme contado la verdad.,You should've told me the truth.
Los perros menean la cola y los gatos la balancean.,Dogs wag their tails and cats swish theirs.
Esta es una excepción a la regla.,This is an exception to the rule.
Tus opiniones no son anticuadas sino más bien inadmisibles.,Your views aren't unfashionable so much as unconscionable.
¿No duermes bien por la noche?,Don't you sleep well at night?
No es la primera vez.,This isn't the first time.
Todo sitio web tiene una dirección única.,Every website has a unique address.
Es más rico que cualquier otro del pueblo.,He is richer than anybody else in town.
Tom podría no ser tan feliz como parece.,Tom might not be as happy as he looks.
Ahora soy libre.,I'm free now.
Él tiene un importante puesto en la compañía.,He got an important position in the company.
Tom y Mary tienen un niño llamado John.,Tom and Mary have a son named John.
Tómate una cerveza.,Have a beer.
Hace cinco años que vinieron a Japón.,It is five years since they came to Japan.
¿Qué haremos esta noche?,What will we do tonight?
Creo que estaremos bien.,I think we'll be all right.
Tom llegó a su casa a las dos y media.,Tom got home at 2:30.
Toda la semana pasada estuvo abarrotado aquí.,It was crowded here all last week.
"Sigues enfadada, ¿no?","You're still mad, aren't you?"
No tienes que creerme.,You don't have to believe me.
Peso más o menos 60 kilos.,I weigh about 60 kilos.
Tomo el metro hacia la escuela cada día.,I take the subway to school every day.
Sería mejor que no comieses demasiado.,You'd better not eat too much.
Es anormal tener el corazón en el lado derecho.,It is abnormal to have the heart on the right side.
¿Quieres que te lleve al aeropuerto?,Do you want me to drive you to the airport?
Mi tío vuelve de Estados Unidos el lunes que viene.,My uncle comes back from America next Monday.
Ella le escribió para decirle que lo amaba.,She wrote to him to tell him that she loved him.
Tom quiere que lo hagas tú.,Tom wants you to do it.
Ese es un árbol limonero.,That's a lemon tree.
Regreso a casa del trabajo a eso de las siete todos los días.,I come home from work about seven every day.
No tiene sentido llorar sobre la leche derramada.,There's no use crying over spilt milk.
Esta llave no entra en la cerradura.,This key doesn't fit in the lock.
A veces me siento somnoliento temprano por la tarde.,I sometimes feel drowsy in the early afternoon.
Creo que la mayor parte es cierta.,I think most of it's true.
Los gatos son criaturas curiosas por naturaleza.,Cats are curious creatures by nature.
Ella está orgullosa de su hijo.,She is proud of her son.
Eres el único que puede ayudarme.,You are the only one who can help me.
Acusaron a Sócrates de ateísmo porque no creía en Zeus.,Socrates was accused of atheism because he did not believe in Zeus.
"Cuando visité su departamento, la pareja estaba justo en medio de una pelea.","When I visited their apartment, the couple was right in the middle of an argument."
Tom se quedó sin comida.,Tom ran out of food.
Yo he llegado aquí antes que usted.,I got here before you did.
No es para nada un trabajo fácil.,It is by no means an easy job.
Él dedicó toda su vida a ayudar a la gente pobre.,He dedicated his whole life to helping poor people.
No me gusta ninguno de ellos.,I like none of them.
No es para nada gracioso.,That isn't funny at all.
