source,target
Tom debió haberle pagado a Mary.,Tom should have paid Mary.
Mary solía jugar con muñecas.,Mary used to play with dolls.
¿Puedo ver su licencia por favor?,"Can I see your license, please?"
Deberían prestar más atención a lo que dicen.,You should pay more attention to what you say.
Ella confiaba en ti.,She trusted you.
Ayer hizo mucho calor.,It was awfully hot yesterday.
Tan pronto como llegue se lo diré.,"As soon as he arrives, I'll tell him."
Pensaba que Tom era el hijo de Mary.,I thought Tom was Mary's son.
Me gustaría estar en París en este momento.,I wish I could be in Paris now.
La larga guerra al fin finalizó.,The long war came to an end at last.
Yo estoy de acuerdo contigo hasta cierto punto.,To some extent I agree with you.
A Tom le quedan tres meses para graduarse.,Tom has three months left until he graduates.
Mejor pensemos en algo.,We'd better think of something.
Creo que el tren llegará aquí pronto.,I think that the train will be here soon.
Ya hemos tratado ese tema.,We've already covered this subject.
Ellas dormían en la misma cama.,They slept in the same bed.
Portugal no está tan cerca de Francia como España.,Portugal is not as close to France as Spain.
¿Cómo puede justificar su conducta?,How can you justify your behavior?
Voy a la peluquería una vez por mes.,I go to the barber once a month.
Tom tenía miedo de meterse en problemas si le decía a Mary dónde había estado en realidad.,Tom was afraid of getting in trouble if he told Mary where he had really been.
En esta habitación hace demasiado calor para estudiar. No lo aguanto más.,This room is too hot to study in. I can't stand it any more.
¿Por qué no os sentáis a la mesa?,Why don't you go sit down at the table?
Los animales debían ser matados.,The animals had to be killed.
¿A cuánta gente invitaste a tu boda?,How many people did you invite to your wedding?
Ella siempre gana las discusiones.,She always wins arguments.
Todas sus esperanzas se desvanecieron cuando perdió a su único hijo en la guerra.,All his hopes evaporated when he lost his only son in the war.
La misión era simple.,The mission was simple.
Scott fue un contemporáneo de Byron.,Scott was a contemporary of Byron.
Colisionaron el uno con el otro.,They bumped against each other.
La lluvia estuvo cayendo durante cinco días.,The rain lasted five days.
No te metas en su privacidad.,Don't intrude on her privacy.
Tom dice que no sabe cuándo empieza la reunión.,Tom says he doesn't know when the meeting starts.
¿Hay algo que estés escondiendo de nosotros?,Are you hiding something from us?
No hay nada romántico entre Tom y yo.,There is nothing romantic between Tom and me.
"Cuando me acuerdo de aquellos estudiantes, me pongo malo.","When I think about those students, it gives me a headache."
"Si tienes una pregunta, por favor alza tu mano derecha.","If you have a question, please raise your right hand."
Ella es cinco años menor que yo.,She's five years younger than I am.
Tom dedicó su vida al servicio público.,Tom devoted his whole life to public service.
Realmente debería irme.,I really should be going.
Es grosero conversar en medio de un concierto.,It's rude to talk during a concert.
Pueden invitar a quien quieran.,You can invite whoever you want.
Tom no es bueno con las mates.,Tom isn't good at math.
No quiero interrumpir a Tom mientras está hablando.,I don't want to interrupt Tom while he's speaking.
Parece que tienen razón.,It looks as if you're right.
Voy al cine una vez al mes.,I go to the movies once a month.
Estas no son palabras.,These aren't words.
Él abrió la puerta.,He opened the door.
Nunca hago nada loco.,I never do anything crazy.
¿Hay algo que quieras decirme?,Is there something that you want to tell me?
Puedes quedarte tanto tiempo como quieras.,You can stay here as long as you like.
Tengo que regresar a casa a las siete.,I have to be back home by seven.
No puedo respirar por la nariz.,I can't breathe through my nose.
Siento como si no fuese lo suficientemente bueno.,I feel like I'm not good enough.
Un autobús nos llevó del aeropuerto a la ciudad.,A bus transported us from the airport to the city.
No hay nadie que no desee la paz.,There are no people who don't desire peace.
No te he mentido jamás.,I've never lied to you.
¿Me he explicado con claridad?,Have I made myself clear?
¿Cuál es el pronóstico para mañana?,What's the forecast for tomorrow?
No soy un delator.,I'm not a snitch.
Te ves bien en ese suéter rojo.,You look nice in that red sweater.
Dijeron que era urgente.,They said that it was urgent.
Quiero un descuento.,I want a discount.
Tardé tres horas en acabar los deberes.,It took me three hours to finish my homework.
Favor de no alimentar a los animales.,Please do not feed the animals.
No puedo dormir bien.,I can't sleep well.
Eso no tiene nada que ver conmigo.,That has nothing to do with me.
El tifón me impidió salir.,That typhoon prevented me from going out.
El titular es un poco engañoso.,The headline is somewhat misleading.
Me alegro de que me pidieras que te acompañara.,I'm glad you asked me to join you.
Mi mujer está cocinando.,My wife is cooking.
Tom no sabe si vendrá o no.,Tom doesn't know if he will come or not.
Fui golpeado por una banda de matones en el camino del trabajo a casa.,I was beaten up by a gang of hoodlums on the way home from work.
Estoy dispuesto para ayudar.,I'm here to help.
"Piénsalo, por favor.",Please think about it.
¿Por qué quiere usted hacer daño a Tom?,Why do you want to hurt Tom?
¿A qué hora nos vamos mañana?,What time do we leave tomorrow?
Mi boca estaba seca.,My mouth was dry.
Quiero ver una película.,I want to see a movie.
Los dos edificios se quemaron.,Both buildings burned down.
Mi padre no va siempre andando al trabajo.,My father does not always walk to work.
Tom no quiere vender su granja.,Tom doesn't want to sell his farm.
Cometí un grave error al elegir a mi esposa.,I made a big mistake when choosing my wife.
Tú y yo vamos juntos.,You and I are going together.
Necesito descansar un poco.,I need to rest for a bit.
No dejes que nadie se acerque al fuego.,Don't let anyone come near the fire.
"Quieres que yo te haga el trabajo sucio, ¿verdad?","You want me to do your dirty work for you, don't you?"
Esta es mi prima.,This is my cousin.
No me gusta su cara.,I don't like her face.
¿Esperas que yo mienta por ti?,Do you expect me to lie for you?
Ella soltó intencionalmente su pañuelo para llamar su atención.,She dropped her handkerchief on purpose to draw his attention.
Yo no quería pasar más tiempo buscando las llaves.,I didn't want to spend any more time looking for my keys.
¿Tom aún siente algo por Mary?,Does Tom still have feelings for Mary?
Eres el hombre más listo que conozco.,You're the smartest guy I know.
En el principio creó Dios los cielos y la tierra.,"In the beginning, God created the heavens and the earth."
Quiero ser actriz.,I want to be an actress.
Sigo olvidándome de eso.,I keep forgetting about that.
Ponlo donde quieras.,Put it where you like.
Es difícil hacer suficiente ejercicio en un trabajo así.,"In a job like this, it's hard to get enough exercise."
Ella tiene tres años más que yo.,She's three years older than me.
Tengo tres años menos que él.,I'm three years younger than he is.
El doctor sacó el papel de su bolsillo.,The doctor pulled the paper from his pocket.
No dejes que Tom cruce la calle.,Don't let Tom cross the street.
"Aunque sea joven, él nunca pierde el tiempo.","Though he is young, he never wastes time."
Ojalá esto fuera verdad.,I wish this were true.
Son una buena tripulación.,They're a good crew.
Tomás puede dormir en mi habitación.,Tom can sleep in my room.
Tom escuchaba música en su cuarto hasta tarde por la noche.,Tom listened to music in his room until late at night.
Se aprende más con los oídos que con los ojos.,You learn more with your ears than with your eyes.
Mi plan fue rechazado.,My plan was rejected.
Tom y Mary congenian muy bien.,Tom and Mary get along very well.
Tom no sabe nada acerca de Boston.,Tom doesn't know anything about Boston.
El joven salvó a la niña de ahogarse.,The young man saved the girl from drowning.
Tom dice que no puede dormir.,Tom says he can't sleep.
Fue tonto de mi parte haber cometido dos veces el mismo error.,It is silly of me to have made the same mistake twice.
Paso mi tiempo libre con mis pequeños.,I spend my free time with my kids.
Él es un estudiante de intercambio extranjero.,He's a foreign exchange student.
Le aconsejó que hiciera ejercicio.,She advised him to exercise.
"Además del piano, ¿sabes tocar otros instrumentos?","Besides the piano, can you play any other instruments?"
¿Quién te crees que eres tú?,Who in the world do you think you are?
Quiero que me escuches.,I want you to listen to me.
Me duele todo el cuerpo.,I ache all over.
¿Mil yenes son suficiente?,Is one thousand yen enough?
Las mujeres lo adoraban.,Women loved it.
Esa obra se estrenó en Broadway la semana pasada.,That play opened on Broadway last week.
El niño resultó herido.,The kid got hurt.
No me han dado un aumento.,I didn't get a raise.
Quiero que me escribáis en cuanto lleguéis allí.,I want you to write to me as soon as you get there.
Hay una necesidad urgente de donaciones.,There is an urgent need for donations.
Puedo vivir sin esto.,I can do without this.
Siempre tiene su diccionario a la mano.,Always keep this dictionary handy.
Son las tres.,It's three o'clock.
Quería verte esta noche.,I wanted to see you tonight.
Tom dijo que vio a Mary montar en el coche de John.,Tom said he saw Mary get into John's car.
Un árbol caído bloqueaba el paso.,A fallen tree blocked the path.
Tom murió solo unas horas después que Mary.,Tom died just a few hours after Mary died.
Tom fue a Boston el año pasado.,Tom went to Boston last year.
Mi coche está cubierto de caca de paloma.,My car is covered with pigeon poop.
Ella debe estar enfadada.,She must be angry.
Mañana es Navidad.,Tomorrow is Christmas Day.
¿Cómo se llamaba?,What was his name?
¡Buen clima! ¿verdad?,"Great weather, isn't it?"
Mira al muchacho que va corriendo.,Look at that boy running.
¿Cuánto tiempo más planeáis esperar?,How much longer do you plan to wait?
La compañía tiene un capital de un millón de dólares.,The company has a capital of a million dollars.
No me interesa lo que él haga.,I don't care what he does.
Todo va a estar bien.,Everything's going to be OK.
Seguro que se trata de un malentendido.,That's surely a misunderstanding.
Tom disparó al perro de Mary.,Tom shot Mary's dog.
No debes olvidarte de despertarme por la mañana.,You must not forget to wake me tomorrow morning.
El mundo no lo reconoció.,The world did not recognize him.
Quiero que Tom tenga una vida decente.,I want Tom to have a decent life.
Tom pertenece a una sociedad secreta.,Tom is a member of a secret society.
La Nintendo DS es una consola portátil de juegos popular.,The Nintendo DS is a popular handheld game console.
8 kilómetros es mucho para caminarlo.,Five miles is a long distance to walk.
¿La pasaste bien?,Did you have fun?
¿Vienes por aquí a menudo?,Do you come here often?
Una manada de lobos atacó al viajero.,A pack of wolves attacked the traveler.
Nadie vive en esta casa.,No one lives in this house.
Quería hablar con vos primero.,I wanted to talk to you first.
Me pregunto cuál es el camino más corto.,I wonder which way is the shortest.
"No camine sobre el pasto, por favor.",Please don't walk on the grass.
El plan no triunfó.,The plan did not succeed.
Encuentro el comic muy interesante.,I found the comic book very interesting.
¿Quién se ha comido todas las galletas?,Who has eaten all the cookies?
"Yo sé nadar, pero no me gusta nadar en el río.","I know how to swim, but I don't like swimming in the river."
El diccionario que hay encima del escritorio es mío.,The dictionary on the desk is mine.
Esto es una locura.,This is nuts.
Quiero ir de pesca.,I want to go fishing.
Te traje helado.,I brought you some ice cream.
Tom simplemente disparó a Mary.,Tom just shot Mary.
Pocas personas tienen máquina de escribir.,Few people have a typewriter.
El lugar estaba casi vacío.,The place was almost empty.
"Tengo más tiempo, y menos dinero que nunca.","I have more time, and less money than ever."
"Como había trabajado más de lo usual, se sentía cansado.",He felt tired because he had worked longer than usual.
Ella me pegó en la cabeza con un martillo.,She hit me on the head with a hammer.
Ten en cuenta su consejo.,Take heed of her advice.
Pareces estar desconcertado.,You seemed taken aback.
¿De verdad quieres hacerlo?,Do you really want to do that?
Él fue lo suficientemente amable para atarme los cordones.,He was kind enough to tie my shoelaces.
Ésta es una estación muy ajetreada.,This is a very busy station.
Ella declinó mi invitación.,She declined my invitation.
¿Has tenido dolores torácicos últimamente?,Have you had chest pain recently?
Pásame el mando a distancia.,Hand me the remote.
Eres la única persona a la que conozco a la que le gusta levantarse temprano en la mañana.,You're the only person I know that likes getting up early in the morning.
Podéis ir a la estación en autobús.,You can go to the station by bus.
Tom parece cómodo.,Tom looks comfortable.
Era una mala elección.,It was a bad choice.
Nos encontramos con ella por casualidad.,We met her by accident.
Tom apuñaló a Mary con un cuchillo de cazador.,Tom stabbed Mary with a hunting knife.
Yo renunciaré a mi trabajo por el bien de mi salud.,I'll quit my job for the sake of my health.
Mira la nube por allá.,Look at the cloud over there.
Tom me dijo que él lo iba a hacer.,Tom told me he'd do that.
¿De verdad piensas que los peces no sienten dolor?,Do you really think fish don't feel pain?
Él está orgulloso de su hijo.,He is proud of his son.
¿Quién querría lastimarte?,Who'd want to hurt you?
Él me dejó tres libros para leer.,He assigned me three books to read.
Necesito saber dónde enterró Tom el oro.,I need to know where Tom buried the gold.
Mi madre está ahí fuera.,My mother is out there.
Por fin se dio cuenta de su error.,"At last, he realized his error."
No creo que él pueda hacer eso.,I think he can't do that.
Espero que lo que dices sea verdad.,I hope that what you're saying is true.
Soy el médico de Tom.,I'm Tom's doctor.
Estoy escribiendo una canción en francés.,I'm writing a song in French.
Deben de estar esperándote.,They must be waiting for you.
Se rinden con demasiada facilidad.,You give up too easily.
Tom apagó el computador.,Tom turned the computer off.
Iré siempre y cuando los demás vayan.,I will go provided that the others go.
¿Cómo haces una caja?,How do you make a box?
Los niños estaban jugando en el patio.,The children were playing in the backyard.
Tenemos que conseguir ayuda.,We've got to get help.
Gracias por las flores.,Thanks for the flowers.
No sabía que tú vendrías también.,"I didn't know that you'd come, too."
Es divertido jugar en las olas.,It's fun playing in the waves.
No sé cómo sortear legalmente esas normativas.,I don't know how to legally get around those regulations.
Ella adora a los gatos.,She loves cats.
¿Cuándo va a ser la boda?,When is the wedding going to take place?
Solo tú puedes responder a esta pregunta.,Only you can answer the question.
Tom casi nunca llega tarde a sus compromisos.,Tom is hardly ever late for appointments.
Hay un jardín delante de nuestra casa.,There's a garden in front of our house.
Mi madre no está en casa.,My mother is out.
Nuestros planes van tomando forma.,Our plans are taking shape.
Nunca vuelvas a retrasarte tanto.,Never be this late again.
Sé que no quieres hablarme.,I know you don't want to talk to me.
Había huellas de pingüinos en la arena.,There were penguin footprints in the sand.
Me sorprende mucho que recibieras el premio.,I'm really surprised you got the prize.
No soy delgado.,I'm not skinny.
El tren se acaba de ir.,The train has just left.
Estuvieron de acuerdo en todo.,They agreed on everything.
¿Puedo tomarme un día libre?,Can I take a day off?
He dejado de beber cerveza.,I don't drink beer anymore.
¿Dónde están tus hijos ahora?,Where are your children now?
La bala atravesó su cuerpo.,The bullet went through his body.
Ni siquiera conozco al tipo.,I don't even know the guy.
No intentes hacer dos cosas a la vez.,Don't try to do two things at a time.
No somos terroristas.,We're not terrorists.
Una sociedad sin religión es como un barco sin brújula.,A society without religion is like a ship without a compass.
Tom y Mary vienen a cenar.,Tom and Mary are coming over for dinner.
"Tome asiento, por favor.",Please sit down.
¿Por qué no haces algo con respecto a la situación?,Why don't you do something about the situation?
¿Podrías traerme un poco de agua?,Could you bring me some water?
"Por mucho que te quejes, no vas a cambiar nada.",Complaining isn't going to change anything.
Tiene que estar cerca de aquí en algún lugar.,It has to be near here somewhere.
Me alegra que a Tom le gustara.,I'm glad Tom liked it.
Ella me dijo que conoce a mi hermano.,She told me she knew my brother.
Sencillamente no sé qué hacer.,I just don't know what to do.
Tom no estaba conmigo.,Tom wasn't with me.
Tom se topó con Mary en el supermercado el otro día.,Tom bumped into Mary the other day at the supermarket.
En el jardín botánico vimos muchas plantas exóticas.,We saw many unusual plants in the botanical garden.
¿Por qué te ríes?,Why are you laughing?
No voy a la escuela.,I do not go to school.
El niño anda en siete años.,The child is going on seven.
Estados Unidos se compone de 50 estados.,America is made up of 50 states.
Esperamos verlos nuevamente.,We hope to meet you again.
Debiste haber venido a verme ayer.,You ought to have come to see me yesterday.
En invierno la isla queda cubierta de hielo y nieve.,The island is covered with ice and snow during the winter.
Necesito ahorrar dinero.,I need to save money.
Creo que es verdad lo que ustedes están diciendo.,I think what you're saying is true.
Tenía miedo de perderme en la oscuridad.,I was afraid of getting lost in the dark.
Tom y Mary se abrazaron.,Tom and Mary hugged each other.
Compra el vestido que quieras.,Buy any dress you like.
El sake es una bebida alcohólica tradicional japonesa.,Sake is a traditional Japanese alcoholic drink.
Él admitió que tuvo que mentir.,He confessed he had to lie.
No tienes obligación de divulgar esa información.,You are under no obligation to divulge that information.
Cada habitación tiene su cama.,Every room has a bed.
Él me cogió del brazo y me miró a los ojos.,He took me by the arm and looked me in the eye.
Leí el libro más interesante en mi biblioteca.,I read the most interesting book in my library.
Tenemos un trabajo que hacer.,We've got a job to do.
¿Puedes cerrar la puerta?,Could you shut the door?
Tuve suerte de que el policía no me diera una multa por dar una vuelta en U en una intersección que no tenía una señal de vuelta en U.,I was lucky that the policeman didn't give me a ticket for making a U-turn at an intersection that had a no U-turn sign.
Dejar de fumar es la cosa más fácil del mundo. Lo sé porque lo he hecho miles de veces.,Giving up smoking is the easiest thing in the world. I know because I've done it thousands of times.
Los dos equipos se igualaron al final.,The two teams were tied at the finish.
"Por lo que sé, él es uno de los mejores médicos de la ciudad.","As far as I know, he is one of the best doctors in town."
¿Por qué estás tan nervioso?,Why are you so nervous?
«¿En qué estás pensando?» «Estoy pensando en ti.»,"""What are you thinking about?"" ""I'm thinking about you."""
Sabes que tu inglés es bueno cuando la gente para de hacerte cumplidos sobre lo bueno que es tu inglés.,You know that your English is good when people stop complimenting you on how good your English is.
¿Tienes algún empleado que hable francés?,Do you have any employees who speak French?
Fue un día realmente hermoso.,It was a really beautiful day.
Ese trabajo me mata de aburrimiento.,That job bores me to death.
"Tom no puede recordar todas sus contraseñas, por lo que las tiene en una lista disimuladas como números de teléfono.","Tom can't remember all his passwords, so he keeps them in a list disguised as phone numbers."
Yo ya he leído este libro.,I've already read this book.
Tengo tantos libros como Tom.,I have as many books as Tom does.
Esto hace que me hierva la sangre.,This makes my blood boil.
Tomás hizo un muy buen trabajo.,Tom did a very good job.
No entendí lo que dijo el profesor.,I didn't understand what the teacher said.
¿Estás segura de que no se te olvida nada?,Are you sure that you haven't forgotten anything?
Ella le presentó a su hermana.,She introduced her sister to him.
Es divertido jugar al béisbol.,Playing baseball is fun.
Permítame enhebrar la aguja por usted.,Let me thread the needle for you.
Me casé cuando tenía diecinueve años.,I got married when I was nineteen.
Vuestra casa es más bonita que la mía.,Your house is nicer than mine.
Vete al garaje.,Go to the garage.
Le construyó a su hijo una casa nueva.,He built his son a new house.
A menudo voy a la playa.,I often go to the beach.
He de cerciorarme de que Tom sepa a qué hora empieza el concierto.,I have to make certain Tom knows what time the concert starts.
¿Cuál es tu fruta preferida?,What's your favorite fruit?
Ayer estuve ocupado.,I was busy yesterday.
"A Tomás le gusta trabajar aquí, creo.","Tom enjoys working here, I think."
Él no es un tipo muy meticuloso.,He's not a very meticulous guy.
Tom enseña francés en Boston.,Tom teaches French in Boston.
No necesito tu caridad.,I don't need your charity.
Que no se te olvide escribirme.,Don't forget to write me.
La puerta del dormitorio de Tom estaba cerrada.,Tom's bedroom door was closed.
Le compré un regalo a Tom la Navidad pasada.,I bought Tom a present last Christmas.
Gracias a usted llegué a tiempo.,"Thanks to you, I arrived on time."
No son buenos.,They're not good.
Tan pronto como ella hubo abierto la puerta un gato salió corriendo.,No sooner had she opened the door than a cat ran out.
Mil dólares es una gran suma.,A thousand dollars is a large sum.
Tom fue secuestrado y retenido por sus captores en un edificio abandonado en Park Street.,Tom was kidnapped and held by his captors in an abandoned building on Park Street.
A causa de la lluvia no jugamos tenis afuera.,"Because of the rain, we didn't play tennis outside."
Ojalá me dijeras qué debo hacer en esta difícil situación.,I wish you would tell me what I ought to do in this difficult situation.
Un americano fue asesinado en la pelea.,One American was killed in the fight.
Anoche me lo pasé muy bien con usted.,I had a great time with you last night.
¿Tú estás bien?,Are you okay?
Aprendí mucho de él.,I learned a lot from him.
Tom me dijo que iba a llegar tarde.,Tom told me he'd be late.
Estás mintiendo otra vez.,You're lying again.
No podrán levantarse tan temprano.,They won't be able to get up so early.
Ahora es el turno de mi hermano.,Now it's my brother's turn.
Es lo menos que podemos hacer.,It's the least we can do.
Algunos políticos nunca cumplen sus promesas de campaña electoral.,Some politicians never make good on campaign promises.
Un nuevo estudiante entró en la clase.,A new student came into the class.
Él estuvo enfermo durante una semana.,He has been sick for a week.
Tom podía ver que él no iba a ganar la discusión.,Tom could see he wasn't going to win the argument.
No hagan ruido.,Don't make any noise.
¿Dónde queda la estación de trenes?,Where is the train station?
Preguntémosle a un agente de viajes.,Let's ask a travel agent.
Tom se asustó tan pronto vio el cuchillo del ladrón.,Tom became scared as soon as he saw the robber's knife.
Tom no podía dejar de pensar en Mary.,Tom couldn't stop thinking about Mary.
Tom me dijo que no le importa si te gusta o no.,Tom told me that he doesn't care whether you like it or not.
Él vendrá a las tres y cuarto.,He'll come at quarter past three.
Tom hizo pastel de carne.,Tom made meatloaf.
Tom le encontró a Mary un trabajo no demasiado lejos de donde ella vive.,Tom found Mary a job not too far from where she lives.
Sencillamente no parece posible.,It just doesn't seem possible.
¿Vinieron ellos hoy?,Did they come today?
La jaula está abierta.,The cage is open.
Tom puede nadar muy bien.,Tom can swim very well.
Deja que te explique cómo funciona.,Let me explain to you how this works.
Mañana Tom se irá de picnic con Mary.,Tom is going on a picnic tomorrow with Mary.
"¿Cómo se dice ""Perdón"" en francés?","How do you say ""I'm sorry"" in French?"
¿Puedo darte un consejo?,Can I give you some advice?
No me importa si gano o no dinero haciendo esto.,It doesn't matter to me whether or not I make money doing this.
Debería ser un poco más tolerante.,You should be a little more tolerant.
Son conscientes de las dificultades.,They are aware of the difficulties.
"No tienes ni idea de lo que estoy hablando, ¿verdad?","You have no idea what I'm talking about, do you?"
Buenos hábitos en el comer son esenciales.,Good eating habits are essential.
"Usted es eficiente, ¿verdad?","You're efficient, aren't you?"
Deberías pensar qué clase de trabajo quieres hacer.,You must consider what kind of work you want to do.
¿Debería ir a la universidad?,Should I go to college?
"Tom quería disparar al ciervo, pero le convencimos de que no lo hiciera.","Tom wanted to shoot the deer, but we talked him out of it."
Me alegra saber que Tom ya se encuentra bien.,I'm glad to hear Tom is doing better.
No quería estar en casa.,I didn't want to stay at home.
La anciana subió las escaleras con dificultad.,The old woman climbed the stairs with difficulty.
Tom quiere hacerse rico rápido.,Tom wants to get rich quick.
Vamos a ver qué pasa fuera.,Let's see what's happening outside.
Nadie lo admira más que yo.,No one admires him more than I do.
¿Quieres que te diga la verdad?,Do you want me to tell the truth?
Ya casi he terminado el informe.,I'm almost done with the report.
"Esta caja es muy pesada, así que no puedo transportarla.","This box is very heavy, so I can't carry it."
Él dijo que quería ser científico.,He said he wanted to be a scientist.
¿Fuiste tú el que hizo sonar la campana?,Were you the one who rung the bell?
No me dejes.,Don't leave me.
Él se gana la vida enseñando inglés.,He earns his living by teaching English.
Tom vio a Mary comiendo sola en una mesa junto a la ventana.,Tom saw Mary eating by herself at a table near the window.
¿Puedes juntar todos los papeles?,Can you gather all of the papers together?
Tom podría llegar unos minutos tarde.,Tom may be a few minutes late.
Él tenía que encontrar otra manera.,He had to find another way.
Tom tiene frío y está cansado.,Tom is cold and tired.
Tom tiene lo que quiere.,Tom has what he wants.
Me temo que tu plan no funcionará.,I am afraid your plan will not work.
