source,target
¿Es difícil comer con palillos?,Is eating with chopsticks difficult?
No los uso.,I don't use them.
Yo no era infeliz.,I wasn't unhappy.
El ruido era una lata.,The noise was a nuisance.
Deberíamos seguir el consejo de la profesora.,We should follow the teacher's advice.
Tom no sabe por qué María no vino a la fiesta.,Tom doesn't know why Mary didn't come to the party.
El anciano me pidió limosnas.,The old man begged me for money.
Tu composición es perfecta excepto por unos pocos errores.,Your composition is perfect except for a few mistakes.
Supongo que tuve suerte.,I guess I was lucky.
Yo bebí de la canilla.,I drank from the tap.
Tom tuvo una charla agradable con Mary.,Tom had a nice chat with Mary.
Nunca cedisteis a la tentación.,You never gave in to temptation.
Quiero visitar Boston de nuevo.,I want to visit Boston again.
Intenta hacerlo mejor la próxima vez.,Try to do it better next time.
No recibí respuesta de nadie.,I got no response from anyone.
¿Quieres salir de aquí?,Do you want to get out of here?
Tom se comió todo el chocolate.,Tom ate all of the chocolate.
Tom dice que va a darte una paliza.,Tom says he's going to beat you up.
Tom siempre usa la olla de arroz que trajo de Japón.,Tom always uses the rice cooker that he brought back from Japan.
¿Tiene una habitación que sea un poco más barata?,Do you have a room that's a little cheaper?
Nos reunimos aquí una vez por semana.,We gather here once a week.
Las hojas cayeron de los árboles.,The leaves fell from the trees.
La compañía invirtió mucho dinero en este proyecto.,The company invested a lot of money in this project.
Agradecí a Mary por su ayuda.,I thanked Mary for her help.
No quiero toparme con Tom.,I don't want to run into Tom.
El lunes daré un discurso en Boston.,I'll be giving a speech in Boston on Monday.
Ella atribuyó su éxito a la buena suerte.,She attributed her success to good luck.
Ya casi se te han acabado los treinta minutos de los que dispones.,Your thirty minutes are almost up.
Mis colegas me recibieron muy cálidamente.,My colleagues welcomed me very warmly.
A la gente le gustó esta canción.,The people liked this song.
El médico pensó que el pulso del paciente era algo rápido.,The doctor thought that the patient's pulse was a little fast.
Mándame un mensaje.,Send me a message.
Tom descubrió dónde estaba Mary.,Tom found out where Mary was.
No he terminado de leer este libro.,I haven't finished reading this book.
Antes te respetaba.,I used to respect you.
¿Cómo puedo ayudarte si no me dices qué está pasando?,How am I supposed to help you if you won't tell me what's going on?
Me parece que las patinetas en general son más baratas que los patines.,I think skateboards are usually cheaper than rollerblades.
Debes seguir las reglas de la escuela.,You must follow school rules.
Fue una gran sorpresa.,It was a big surprise.
La costumbre se originó en China.,The custom originated in China.
Estoy sorprendido de su rápido progreso en inglés.,I'm amazed at his rapid progress in English.
¿Hiciste novillos ayer?,Did you play hooky yesterday?
"Sabía que él estaba enojado, pero no había pensado que él estaría así de enojado.","I knew he was angry, but I didn't think he was that angry."
Nuestro próximo encuentro será el lunes que viene.,Our next meeting will be next Monday.
Sabía que teníamos problemas entonces.,I knew we were in trouble then.
Muchos esclavos fueron afrancados.,Many slaves were freed.
El experimento fue un éxito.,The experiment was successful.
"Por más que coma, yo nunca engordo.","No matter how much I eat, I never get fat."
Tom compite en carreras de esquí.,Tom competes in ski races.
Ninguno de mis estudiantes reprobó.,None of my students failed.
Esta es la parte importante.,This is the important part.
Los ancianos tienden a volver la mirada al pasado.,Old people are inclined to look back on the past.
Tom admitió haberle disparado a Mary.,Tom confessed to shooting Mary.
¿Puedo hacer una sugerencia?,May I make a suggestion?
Alquilamos un camión para trasladar nuestros muebles.,We rented a truck to move our furniture.
Acampar tan cerca del río no es buena idea.,Camping so near the river isn't a good idea.
No hay razón para que me quede.,There's no reason for me to stay.
Nadie lo sabrá.,No one will know.
Esta frase me parece correcta.,This phrase seems correct to me.
Nuestro equipo lleva cinco puntos de ventaja.,Our team is five points ahead.
He estado esperando tres horas enteras.,I have waited a full three hours.
Tienes que darte prisa.,You have to hurry.
Él atrapó a un muchacho robando su reloj.,He caught a boy stealing his watch.
A Tom le gusta el pelo largo y negro de Mary.,Tom likes Mary's long black hair.
Tom puede hablar bien francés.,Tom can speak French well.
¿Conoces algunos mitos griegos?,Do you know any Greek myths?
Él estaba tocando el piano.,He was playing the piano.
¿Quieres echar un vistazo?,Do you want to take a look?
Tom no podía soportar más a Mary.,Tom couldn't put up with Mary any longer.
No quiero que cambies.,I don't want you to change.
¿Cuál lengua extranjera aprendes?,Which foreign language are you learning?
¿Crees que tendremos una Navidad blanca este año?,Do you think we'll have a white Christmas this year?
No tengo tiempo para esto.,I don't have time for this.
Tom encontró sus gafas y se las puso.,Tom found his glasses and put them on.
Creo que deberíamos cambiar de tema.,I think we should move on to another topic.
Esta no es mi idea de diversión.,This is not my idea of fun.
Espero que no tengas que hacerlo.,I hope that you won't have to do that.
No comas entre comidas.,Don't eat between meals.
Le está sangrando la nariz.,Your nose is bleeding.
Hay un teléfono en la cocina.,There's a phone in the kitchen.
Tom abusa de su autoridad.,Tom abuses his authority.
Nadie sabía qué decir.,Nobody knew what to say.
No tengo nada que decirte ahora mismo.,I have nothing to tell you right now.
Estamos viviendo con nuestro tío.,We're living with our uncle.
Tom y María no nos quieren aquí.,Tom and Mary don't want us here.
Nunca se es demasiado viejo para aprender.,No one is too old to learn.
Es un asco estar resfriado.,It sucks having a cold.
Las personas tienden a subestimar sus necesidades futuras.,People have a tendency to underestimate their future needs.
Creo que deberías escuchar.,I think you ought to listen.
Él hizo lo que se le dijo.,He did what they told him.
"Si estuviera en tu situación, haría lo mismo.","If I were in your situation, I would do the same thing."
Necesito un diccionario japonés-inglés.,I need a Japanese-English dictionary.
Se lo advertí.,I warned you.
Con tu ayuda atraparemos a Tom.,"With your help, we'll catch Tom."
Esa casa es muy pequeña.,That house is very small.
Usted sabe todo.,You know everything.
Tom es alguien que no te da confianza.,Tom is someone who can't be trusted.
El médico me dijo que dejara de fumar.,My doctor told me to quit smoking.
Él se preguntaba por qué ella hizo eso.,He wondered why she did that.
Dejaron de llegar cartas de Tom.,Tom's letters stopped coming.
Mary es una chica.,Mary is a girl.
¿Ya has terminado de limpiar tu habitación?,Have you finished cleaning your room yet?
Tom sacó la tarta del horno.,Tom took the pie out of the oven.
Intenté poner fin a la discusión.,I tried to put an end to the quarrel.
¿A qué hora llegaste esta mañana?,What time did you get here this morning?
Tomás no es mi enemigo.,Tom isn't my enemy.
Quiero hablar con ella.,I want to talk to her.
Es un diccionario.,It's a dictionary.
¿Ya estás preparada?,Are you ready?
Nos preparó un aperitivo.,She fixed us a snack.
¿Tom ha comido ya?,Has Tom eaten yet?
Eso no es suficiente.,This is not enough.
¿Hizo usted un contrato en forma con él?,Did you make a formal agreement with him?
Los ordenadores te ahorrarán un montón de tiempo.,Computers will save you a lot of time.
¿Niegas que fuiste allí?,Do you deny that you went there?
Ella lo asesinó con un cuchillo.,She killed him with a knife.
Ahora mi mujer está haciendo la comida.,My wife is cooking right now.
La reunión terminó a las nueve.,The meeting finished at nine.
Llamá a la policía y contales lo que me dijiste.,Call the police and tell them what you told me.
No tengo nada que decir en particular.,I have nothing particular to say.
De repente apareció un hombre en la puerta.,A man suddenly appeared in the doorway.
Quiero obtener mucho.,I want to get a lot.
Lo conocí hace tres años.,I first met him three years ago.
Él no quiere hablar de eso.,He doesn't want to talk about it.
Necesito un poco de ayuda.,I need a little help.
En esta habitación hace mucho frío.,It's really cold in this room.
"A algunos les gusta el café, y otros prefieren el té.",Some people like coffee and others prefer tea.
Sé lo raro que es esto.,I know how weird this is.
Ella no se parece a su madre en absoluto.,She doesn't take after her mother at all.
Tengo algunos amigos en Estados Unidos.,I have a few friends in the United States.
Tom trató de recoger sus llaves con los dedos del pie.,Tom tried to pick up his keys with his toes.
¿Este es dinero canadiense?,Is this Canadian money?
Tom no sabía que tenía una admiradora secreta.,Tom didn't know that he had a secret admirer.
Puedo hacer eso si me dejas.,I can do that if you let me.
Estás malgastando tu plata y mi tiempo.,You're wasting your money and my time.
Siento que nos dejes.,I'm sorry you're leaving us.
"No creo que alguna vez vaya a sonar como un hablante nativo, y en realidad no creo que lo necesite.","I don't think I'll ever sound like a native speaker, and I don't really think I need to."
"Hagamos lo que hagamos, Tom nunca estará contento.","No matter what we do, Tom won't be satisfied."
"Buenos días, cariño.","Good morning, sweetheart."
¿Qué le tomó tanto tiempo a Tom?,What took Tom so long?
"""Tom nos ayudará mañana"". ""Yo no contaría con ello.""","""Tom will help us tomorrow."" ""I wouldn't count on it."""
El verano ha terminado.,Summer has ended.
Ellos están en la cocina.,They are in the kitchen.
Tom no tenía nada que ver con este embrollo.,Tom had nothing to do with that mess.
Tom se golpeó su cabeza.,Tom banged his head.
Esa es mi esposa.,That's my wife.
Él cavó un agujero en el jardín.,He dug a hole in the garden.
"Tom cree que sabe cuánto dinero gana Mary, pero Mary gana bastante más de lo que Tom piensa.","Tom thinks he knows how much money Mary makes, but Mary makes quite a bit more than Tom thinks she does."
Estoy haciendo una caseta para pájaros.,I'm building a birdhouse.
Quiero que vayas a ver si sigue ahí.,I want you to go and see if it's still there.
Yo he bebido del grifo.,I drank from the tap.
Estoy acostumbrado a vivir solo.,I am accustomed to living alone.
Mi gata restregó su cabeza contra mi hombro.,My cat rubbed her head against my shoulder.
Quiero que ayudes.,I want you to help.
Tomás no tiene sed.,Tom isn't thirsty.
Tom quería verme.,Tom wanted to see me.
Sólo cuando vas al extranjero te das cuenta de lo pequeño que es Japón.,It is not until you go abroad that you realize how small Japan is.
El final es mucho más interesante.,The ending is much more interesting.
Tendemos a asociar a los políticos con la hipocresía.,We tend to associate politicians with hypocrisy.
Tu madre es muy joven.,Your mother is very young.
Tomás no es un soldado.,Tom isn't a soldier.
Tom se enamoró de la novia de su mejor amigo.,Tom fell in love with his best friend's girlfriend.
Algunas personas son alérgicas al trigo.,Some people are allergic to wheat.
Oí que Tom había estado por años contrabandeando drogas a América antes de ser capturado.,I heard that Tom had been smuggling drugs into America for years before he got caught.
Lo metieron preso.,He was put in prison.
¿Adónde fuiste ayer?,Where did you go yesterday?
No quiero hablar de amor.,I don't want to talk about love.
Tengo un huevo.,I have an egg.
De aquí a la costa son unos 3 kilómetros.,It's about three kilometers from here to the coast.
Los estudiantes se han manifestado contra el nuevo gobierno.,The students demonstrated against the new government.
¿Por qué no le quieres contar lo de ella?,Why do you not want to tell him about her?
En este pueblo hay cincuenta familias.,There are fifty families in this village.
¿Quiere ser rico?,Do you want to be rich?
¿No te dije que cerraras la puerta?,Didn't I tell you to close the door?
Él puso todo su dinero en la caja.,He put all his money in the box.
Tom es un tipo intrigante.,Tom is an intriguing guy.
Es imposible que funcione.,It can't possibly work.
Mi auto está en la cochera.,My car's in the garage.
En este momento no tengo ganas.,I don't feel like it right now.
Tom y Mary están muy hambrientos.,Tom and Mary are very hungry.
¿Por cuánto tiempo más me debo quedar en el hospital?,How much longer will I have to stay in the hospital?
El testigo indicó su nombre.,The witness stated his name.
Él trabaja como gondolero en Venecia.,He works as a gondolier in Venice.
Se quedó sordo como resultado de un accidente.,He went deaf as a result of an accident.
Sos muy valiente.,You are very brave.
Los mismos prisioneros no pudieron decir nada.,The prisoners themselves could say nothing.
Todavía queremos ganar.,We still want to win.
Ella tiene que cuidar a su madre.,She has to look after her mother.
Tom consiguió lo que quería.,Tom got what he wanted.
Sé que esto funcionará.,I know this will work.
No tenemos suficiente espacio.,We don't have enough room.
Ella está resfriada y en cama.,She is in bed with a cold.
Ella no es lo suficientemente buena para él.,She isn't good enough for him.
Tom debía haber escuchado a Mary con más cuidado.,Tom should have listened to Mary more carefully.
No te puedo oír muy bien.,I can't hear you very well.
Tengo una computadora.,I own a computer.
Muéstrame cómo hacerlo.,Show me how to do it.
Tom se comió la poca comida que le quedaba.,Tom ate what little food he had left.
Tom parece sorprendido.,Tom looks surprised.
Ella le susurró algo.,She whispered something to him.
Puedes pasar la noche aquí.,You can stay here tonight.
No tengo nada de hambre.,I'm not at all hungry.
La Tierra es pequeña si la comparamos con el Sol.,The earth is small compared with the sun.
No debéis quedaros fuera tan tarde.,You mustn't stay out that late.
El budismo tuvo sus orígenes en la India.,Buddhism had its beginnings in India.
¿Cómo va tu trabajo?,How's work going?
Tenga cuidado con lo que come.,Be careful about what you eat.
"En cuanto termines, te pago.",I'll pay you as soon as you're done.
Yo también estoy desempleado.,I am also unemployed.
"¡Date prisa, qué perdemos el tren!","Hurry up, or we'll miss the train."
Tom perdió las esperanzas de volverse actor.,Tom abandoned the hope of becoming an actor.
"Con vuestras habilidades, estoy segura de que no sería muy difícil encontrar otro trabajo.","With your skills, I'm sure it wouldn't be too hard to find another job."
Esa no es la respuesta que esperábamos.,That isn't the response we expected.
Mi amigo tiene diecisiete años.,My friend is seventeen.
El café estaba demasiado caliente para beberlo.,The coffee was too hot for me to drink.
Muchos de nosotros estábamos cansados.,Many of us were tired.
Las circunstancias de su familia eran tales que él se hizo profesor por las necesidades.,His family circumstances were such that he became a teacher out of necessity.
Él es una persona importante en el FBI.,He's an important person in the FBI.
A ella le gusta el pop ruso.,She likes Russian pop.
Tengo un serio problema a la piel.,I have a serious skin problem.
El tren es muy rápido.,The train is very fast.
Los niños dicen cosas tan estúpidas.,Children say such stupid things.
Sigue en contacto conmigo.,Keep in touch with me.
Tom podría llorar.,Tom might cry.
"Los gatos son distantes, las cobayas son nerviosas y los perros necesitan cariño constante y atención.","Cats are aloof, guinea pigs are nervous, and dogs need constant love and attention."
Creo que es hora de que lleguemos a un acuerdo.,I think it's time for us to come to an agreement.
Se quedaron en casa porque estaba lloviendo.,"They stayed at home, because it rained."
El profesor entró en el aula inmediatamente después de que sonara el timbre.,"Immediately after the bell rang, the teacher came into the classroom."
Seguimos el curso del río.,We followed the course of the river.
Tom apenas puede pagar la renta.,Tom can barely pay his rent.
No sabía lo que había pasado.,I didn't know what had happened.
Lo escondí debajo de mi cama.,I hid it under my bed.
No creas todo lo que te diga la gente.,Don't believe everything people tell you.
"Tom era más bajo que yo en la escuela secundaria, pero ahora es más alto que yo.","Tom was shorter than me in junior high school, but now he's taller than me."
Tomás no se pudo controlar al ver a María besando a Juan.,Tom couldn't control himself when he saw Mary kissing John.
Croacia está en el sudeste de Europa.,Croatia is in the southeastern part of Europe.
¿Te quedarás en casa?,Will you stay at home?
Ni siquiera estás escuchando lo que te estoy diciendo.,You're not even listening to what I'm telling you.
¿Cómo se llama eso?,What's it called?
Es un muchacho encantador.,He's a lovely young man.
Mucha gente fue engañada por ese anuncio.,Many people were deceived by the advertisement.
El nuevo gobierno tiene problemas financieros.,The new government has financial troubles.
Tom y yo lo hicimos.,Tom and I did that.
Se me agotaron los trucos.,I'm all out of tricks.
No uses el bolígrafo negro.,Don't use the black pen.
Supongo que están viniendo.,I suppose they're coming.
Tom está en el porche de atrás.,Tom is on the back porch.
Se han ganado un buen descanso.,You've earned a good rest.
¿Tom es famoso?,Is Tom famous?
A las mujeres les gusta hablar.,Women like to talk.
Alguien lanzó un ladrillo por mi ventana.,Somebody threw a brick through my window.
¿Qué le ha pasado a Tom?,What has happened to Tom?
He perdido la llave.,I have lost my key.
Creo que mi plan es mejor que el tuyo.,I think my plan is better than yours.
Tuvo que estudiar mucho para ponerse al día con sus compañeros de clase.,She had to study hard to catch up with her classmates.
Creo que es hora de dejar de permitirle que se salga siempre con la suya.,I think it's time for me to stop allowing her to always have her own way.
Dejen de discutir por dinero.,Stop arguing about money.
"Enséñeme el menú, por favor.",Please show me the menu.
Tom fue asesinado el lunes.,Tom was killed on Monday.
¿Cómo estuvo tu noche?,How was your night?
Tom se sintió responsable por el accidente de Mary.,Tom felt responsible for Mary's accident.
También está escrito en francés.,It's also written in French.
Tom se suicidó saltando frente a un tren.,Tom committed suicide by jumping in front of a train.
Yo sabía que podía ocurrir.,I knew it could happen.
Puedo ser tu mejor amigo o tu peor enemigo.,I can be your best friend or your worst enemy.
¿Te acuerdas de qué hora era cuando escuchaste la explosión?,Do you remember what time it was when you heard the explosion?
Puedes cogerte el día libre.,You can have the day off.
No tener noticias son buenas noticias. Si no has oído de tu hijo es porque le está yendo bien.,No news is good news. If you haven't heard from your son it's because he's doing well.
Soy un hombre tímido.,I am a shy boy.
¿Hay algún restaurante japonés por aquí cerca?,Are there any Japanese restaurants near here?
Tom construyó su propia casa.,Tom built his own house.
¿Se venden antibióticos sin receta en tu país?,Are antibiotics sold over the counter in your country?
Tom es mi papá.,Tom is my dad.
Los borrachos a menudo hacen cosas estúpidas.,Drunk people often do stupid things.
Me encantan las películas francesas.,I love French movies.
¿Cuánto confías en que acabarán las reparaciones el lunes?,How confident are you that they'll get these repairs completed by Monday?
Tom no es mi hijo.,Tom is not my son.
"Hoy estás ocupado, ¿verdad?","You're busy today, aren't you?"
Me alegra haberte encontrado acá.,I am glad to run into you here.
¿Seguro que vale la pena?,Is it worth the risk?
¿Cuál es tu postre favorito con plátanos?,What's your favorite dessert with bananas?
Tom tiene la coartada perfecta.,Tom has the perfect alibi.
Mary dijo que Tom tenía problemas.,Mary said Tom was in trouble.
Díganle que yo pelo las patatas.,Tell her that I am peeling the potatoes.
El sueldo de un maestro es menor que el de un abogado.,A teacher's salary is less than an attorney's.
Tom me preguntó si acaso era feliz o no.,Tom asked me if I was happy or not.
Ha sido una gran ayuda.,That helps a lot.
Firma sobre esta línea.,Sign above this line.
Él siempre ha vivido en Tokio.,He's always been living in Tokyo.
No están equivocados del todo.,You are not at all wrong.
No quería nadar.,I didn't want to swim.
Tom encontró lo que buscaba.,Tom found what he was looking for.
El clima está agradable.,The weather's nice.
"Por favor, espérame allí hasta que llegue.",Please wait until I get there.
Toca la campana en caso de emergencia.,Ring the bell in an emergency.
"Si piensas que eres alguien, dejas de convertirte en alguien.","If you think you're someone, you stop becoming someone."
Me encantan las fiestas.,I love parties.
Pronto serás una de los nuestras.,You'll be one of us soon.
Ella puede tocar batería.,She can play the drum.
No quiero molestarla.,I don't want to bother her.
Eso suena aterrador.,That sounds scary.
"Hola, me llamo Tom, y ella es Mary.","Hi, I'm Tom, and this is Mary."
Traiga a su hermano.,Bring your brother.
Abusó de mi confianza.,He betrayed my confidence.
Ten cuidado para no romper los huevos.,Be careful not to break these eggs.
El vinagre es un ácido.,Vinegar is an acid.
Quizá tienes una solución mejor.,Maybe you have a better solution.
Tom ha cambiado mucho desde entonces.,Tom has changed a lot since then.
No encuentro tiempo para viajar.,I can't afford the time to travel.
Había pocos muebles en la sala.,There was little furniture in the room.
Hazlo lo mejor que puedas.,Do it to the best of your abilities.
¿Te han diagnosticado alguna vez de diabetes?,Have you ever been diagnosed with diabetes?
¿Cómo puedo encontrar a Tom?,How can I find Tom?
En ese cine siempre dan buenas películas.,That movie theater always shows good movies.
"En mi caso, prefiero el pollo al cerdo.","As for me, I like chicken better than pork."
Hoy no he hablado con nadie.,I haven't spoken with anyone today.
Solo unas pocas personas lo escucharon.,Only a few people listened to him.
Ella tocó el piano bastante bien.,She played the piano well enough.
Tom piensa que quiero a Mary.,Tom thinks I love Mary.
"¿Cómo se dice ""gracias"" en francés?","How do you say ""thank you"" in French?"
Aquí está el mapa.,Here is the map.
"Tom, Mary y John se sentaron alrededor de la mesa de la cocina.","Tom, Mary and John sat around the kitchen table."
Leí las obras completas de Milton durante las vacaciones.,I read the entire works of Milton over the holiday.
Casi derramo café sobre mi teclado.,I almost spilled coffee on my keyboard.
"Mi mamá tiene licencia de conducir, pero no conduce un auto.","My mother has a driver's license, but she doesn't drive a car."
Me torcí el dedo mientras jugaba voleibol.,I sprained my finger while playing volleyball.
Si tuviéramos que hablar más que escuchar tendríamos dos bocas y una oreja.,"If we were supposed to talk more than listen, we would have been given two mouths and one ear."
Allí venden numerosos productos variados y de alimentación.,They sell many types of food and grocery products.
"Tom está en la cocina, calentando las sobras.","Tom is in the kitchen, heating up leftovers."
En esta ciudad hay muchas escuelas.,There are a great number of schools in this city.
"Tom no tenía mucho tiempo, así que tan sólo escaneó rápidamente el reporte.",Tom didn't have much time so he just quickly scanned the report.
Él tiene un libro interesante.,He has an interesting book.
Nadie quiere ir allí.,No one wants to go there.
Necesitamos su llave.,We need your key.
Él es muy inteligente.,He's very intelligent.
Tom encontró algo que estaba escondido detrás de la cómoda.,Tom found something hidden behind the chest of drawers.
Me dolía la cabeza.,My head ached.
Me alegro de ser chico.,I'm glad I'm a boy.
No se salió.,It did not come off.
Dicen que las chicas pasan más tiempo preocupándose por su aspecto que los chicos.,They say that girls spend more time worrying about how they look than boys do.
¿Te puedes imaginar cómo sería la vida sin televisión?,Can you imagine what life would be like without television?
¿Cuándo fue la última vez que tomaste el metro?,When was the last time you took the subway?
"De repente, todas las luces se apagaron.","All of a sudden, all the lights went out."
¿Dónde los pusiste?,Where did you put them?
Aprecio el consejo.,I appreciate the advice.
